"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Mother's Bridged Race"	"Mother's Bridged Race Code"	Births
	"2007"	"2007"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	2806
	"2007"	"2007"	"Wake County, NC"	"37183"	"White"	"2106-3"	7087
	"2007"	"2007"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	4637
	"2007"	"2007"	"Franklin County, OH"	"39049"	"White"	"2106-3"	10666
	"2007"	"2007"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	3950
	"2007"	"2007"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	6663
	"2007"	"2007"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	1944
	"2007"	"2007"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	4864
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	2204
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	6464
	"2007"	"2007"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	1324
	"2007"	"2007"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	5692
	"2007"	"2007"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	1414
	"2007"	"2007"	"Greenville County, SC"	"45045"	"White"	"2106-3"	3964
	"2007"	"2007"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	3007
	"2007"	"2007"	"Davidson County, TN"	"47037"	"White"	"2106-3"	4600
	"2007"	"2007"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	559
	"2007"	"2007"	"Knox County, TN"	"47093"	"White"	"2106-3"	4284
	"2007"	"2007"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	8724
	"2007"	"2007"	"Shelby County, TN"	"47157"	"White"	"2106-3"	4208
	"2007"	"2007"	"Richmond city, VA"	"51760"	"Black or African American"	"2054-5"	1897
	"2007"	"2007"	"Richmond city, VA"	"51760"	"White"	"2106-3"	943
	"2008"	"2008"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4495
	"2008"	"2008"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	4097
	"2008"	"2008"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4760
	"2008"	"2008"	"Duval County, FL"	"12031"	"White"	"2106-3"	6724
	"2008"	"2008"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4417
	"2008"	"2008"	"Marion County, IN"	"18097"	"White"	"2106-3"	7971
	"2008"	"2008"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2776
	"2008"	"2008"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6664
	"2008"	"2008"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1210
	"2008"	"2008"	"Kent County, MI"	"26081"	"White"	"2106-3"	6089
	"2008"	"2008"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	3016
	"2008"	"2008"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5668
	"2008"	"2008"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	3648
	"2008"	"2008"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	6922
	"2008"	"2008"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	3460
	"2008"	"2008"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	1858
	"2008"	"2008"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	1326
	"2008"	"2008"	"Douglas County, NE"	"31055"	"White"	"2106-3"	5211
	"2008"	"2008"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	2454
	"2008"	"2008"	"Guilford County, NC"	"37081"	"White"	"2106-3"	2636
	"2008"	"2008"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	4638
	"2008"	"2008"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	6263
	"2008"	"2008"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	2922
	"2008"	"2008"	"Wake County, NC"	"37183"	"White"	"2106-3"	7021
	"2008"	"2008"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	4778
	"2008"	"2008"	"Franklin County, OH"	"39049"	"White"	"2106-3"	10708
	"2008"	"2008"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	3909
	"2008"	"2008"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	6703
	"2008"	"2008"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	1978
	"2008"	"2008"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	4761
	"2008"	"2008"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	2287
	"2008"	"2008"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	6457
	"2008"	"2008"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	1246
	"2008"	"2008"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	5567
	"2008"	"2008"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	1426
	"2008"	"2008"	"Greenville County, SC"	"45045"	"White"	"2106-3"	4115
	"2008"	"2008"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	3107
	"2008"	"2008"	"Davidson County, TN"	"47037"	"White"	"2106-3"	4724
	"2008"	"2008"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	603
	"2008"	"2008"	"Knox County, TN"	"47093"	"White"	"2106-3"	4357
	"2008"	"2008"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	8977
	"2008"	"2008"	"Shelby County, TN"	"47157"	"White"	"2106-3"	3986
	"2008"	"2008"	"Richmond city, VA"	"51760"	"Black or African American"	"2054-5"	1835
	"2008"	"2008"	"Richmond city, VA"	"51760"	"White"	"2106-3"	989
	"2009"	"2009"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4661
	"2009"	"2009"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	4714
	"2009"	"2009"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4760
	"2009"	"2009"	"Duval County, FL"	"12031"	"White"	"2106-3"	6413
	"2009"	"2009"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4273
	"2009"	"2009"	"Marion County, IN"	"18097"	"White"	"2106-3"	8073
	"2009"	"2009"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2823
	"2009"	"2009"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6538
	"2009"	"2009"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1179
	"2009"	"2009"	"Kent County, MI"	"26081"	"White"	"2106-3"	6059
	"2009"	"2009"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	3091
	"2009"	"2009"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5563
	"2009"	"2009"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	3765
	"2009"	"2009"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	6922
	"2009"	"2009"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	2910
	"2009"	"2009"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	1839
	"2009"	"2009"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	1307
	"2009"	"2009"	"Douglas County, NE"	"31055"	"White"	"2106-3"	5201
	"2009"	"2009"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	2412
	"2009"	"2009"	"Guilford County, NC"	"37081"	"White"	"2106-3"	2542
	"2009"	"2009"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	4470
	"2009"	"2009"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	6256
	"2009"	"2009"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	2791
	"2009"	"2009"	"Wake County, NC"	"37183"	"White"	"2106-3"	7041
	"2009"	"2009"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	4922
	"2009"	"2009"	"Franklin County, OH"	"39049"	"White"	"2106-3"	10532
	"2009"	"2009"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	3890
	"2009"	"2009"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	6484
	"2009"	"2009"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	1939
	"2009"	"2009"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	4743
	"2009"	"2009"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	2284
	"2009"	"2009"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	6527
	"2009"	"2009"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	1355
	"2009"	"2009"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	5714
	"2009"	"2009"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	1587
	"2009"	"2009"	"Greenville County, SC"	"45045"	"White"	"2106-3"	4915
	"2009"	"2009"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	3015
	"2009"	"2009"	"Davidson County, TN"	"47037"	"White"	"2106-3"	4664
	"2009"	"2009"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	565
	"2009"	"2009"	"Knox County, TN"	"47093"	"White"	"2106-3"	4250
	"2009"	"2009"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	8630
	"2009"	"2009"	"Shelby County, TN"	"47157"	"White"	"2106-3"	3785
	"2009"	"2009"	"Richmond city, VA"	"51760"	"Black or African American"	"2054-5"	1790
	"2009"	"2009"	"Richmond city, VA"	"51760"	"White"	"2106-3"	945
	"2010"	"2010"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4148
	"2010"	"2010"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	3872
	"2010"	"2010"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4525
	"2010"	"2010"	"Duval County, FL"	"12031"	"White"	"2106-3"	6264
	"2010"	"2010"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4379
	"2010"	"2010"	"Marion County, IN"	"18097"	"White"	"2106-3"	7428
	"2010"	"2010"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2742
	"2010"	"2010"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6407
	"2010"	"2010"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1132
	"2010"	"2010"	"Kent County, MI"	"26081"	"White"	"2106-3"	5917
	"2010"	"2010"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	2817
	"2010"	"2010"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5377
	"2010"	"2010"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	3696
	"2010"	"2010"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	6721
	"2010"	"2010"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	2649
	"2010"	"2010"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	1711
	"2010"	"2010"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	1207
	"2010"	"2010"	"Douglas County, NE"	"31055"	"White"	"2106-3"	5129
	"2010"	"2010"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	2338
	"2010"	"2010"	"Guilford County, NC"	"37081"	"White"	"2106-3"	2507
	"2010"	"2010"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	4378
	"2010"	"2010"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	5874
	"2010"	"2010"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	2842
	"2010"	"2010"	"Wake County, NC"	"37183"	"White"	"2106-3"	6806
	"2010"	"2010"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	4788
	"2010"	"2010"	"Franklin County, OH"	"39049"	"White"	"2106-3"	10337
	"2010"	"2010"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	3694
	"2010"	"2010"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	6166
	"2010"	"2010"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	1765
	"2010"	"2010"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	4565
	"2010"	"2010"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	2147
	"2010"	"2010"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	6354
	"2010"	"2010"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	1278
	"2010"	"2010"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	5532
	"2010"	"2010"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	1317
	"2010"	"2010"	"Greenville County, SC"	"45045"	"White"	"2106-3"	3842
	"2010"	"2010"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	2865
	"2010"	"2010"	"Davidson County, TN"	"47037"	"White"	"2106-3"	4720
	"2010"	"2010"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	599
	"2010"	"2010"	"Knox County, TN"	"47093"	"White"	"2106-3"	3987
	"2010"	"2010"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	8264
	"2010"	"2010"	"Shelby County, TN"	"47157"	"White"	"2106-3"	3660
	"2010"	"2010"	"Richmond city, VA"	"51760"	"Black or African American"	"2054-5"	1704
	"2010"	"2010"	"Richmond city, VA"	"51760"	"White"	"2106-3"	860
	"2011"	"2011"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4167
	"2011"	"2011"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	3875
	"2011"	"2011"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4444
	"2011"	"2011"	"Duval County, FL"	"12031"	"White"	"2106-3"	6130
	"2011"	"2011"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4257
	"2011"	"2011"	"Marion County, IN"	"18097"	"White"	"2106-3"	7522
	"2011"	"2011"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2668
	"2011"	"2011"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6330
	"2011"	"2011"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1214
	"2011"	"2011"	"Kent County, MI"	"26081"	"White"	"2106-3"	5932
	"2011"	"2011"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	2732
	"2011"	"2011"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5332
	"2011"	"2011"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	3693
	"2011"	"2011"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	6925
	"2011"	"2011"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	2746
	"2011"	"2011"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	1722
	"2011"	"2011"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	1214
	"2011"	"2011"	"Douglas County, NE"	"31055"	"White"	"2106-3"	5261
	"2011"	"2011"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	2365
	"2011"	"2011"	"Guilford County, NC"	"37081"	"White"	"2106-3"	2552
	"2011"	"2011"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	4331
	"2011"	"2011"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	5783
	"2011"	"2011"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	2852
	"2011"	"2011"	"Wake County, NC"	"37183"	"White"	"2106-3"	6683
	"2011"	"2011"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	4864
	"2011"	"2011"	"Franklin County, OH"	"39049"	"White"	"2106-3"	10521
	"2011"	"2011"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	3767
	"2011"	"2011"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	6382
	"2011"	"2011"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	1695
	"2011"	"2011"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	4492
	"2011"	"2011"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	2156
	"2011"	"2011"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	6211
	"2011"	"2011"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	1255
	"2011"	"2011"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	5507
	"2011"	"2011"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	1241
	"2011"	"2011"	"Greenville County, SC"	"45045"	"White"	"2106-3"	3837
	"2011"	"2011"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	2809
	"2011"	"2011"	"Davidson County, TN"	"47037"	"White"	"2106-3"	4816
	"2011"	"2011"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	545
	"2011"	"2011"	"Knox County, TN"	"47093"	"White"	"2106-3"	4102
	"2011"	"2011"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	8334
	"2011"	"2011"	"Shelby County, TN"	"47157"	"White"	"2106-3"	3751
	"2011"	"2011"	"Richmond city, VA"	"51760"	"Black or African American"	"2054-5"	1651
	"2011"	"2011"	"Richmond city, VA"	"51760"	"White"	"2106-3"	932
	"2012"	"2012"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4325
	"2012"	"2012"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	3914
	"2012"	"2012"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4607
	"2012"	"2012"	"Duval County, FL"	"12031"	"White"	"2106-3"	6001
	"2012"	"2012"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4444
	"2012"	"2012"	"Marion County, IN"	"18097"	"White"	"2106-3"	7414
	"2012"	"2012"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2554
	"2012"	"2012"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6249
	"2012"	"2012"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1235
	"2012"	"2012"	"Kent County, MI"	"26081"	"White"	"2106-3"	6105
	"2012"	"2012"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	2788
	"2012"	"2012"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5349
	"2012"	"2012"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	3644
	"2012"	"2012"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	6643
	"2012"	"2012"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	2562
	"2012"	"2012"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	1681
	"2012"	"2012"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	1225
	"2012"	"2012"	"Douglas County, NE"	"31055"	"White"	"2106-3"	5223
	"2012"	"2012"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	2431
	"2012"	"2012"	"Guilford County, NC"	"37081"	"White"	"2106-3"	2464
	"2012"	"2012"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	4467
	"2012"	"2012"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	5705
	"2012"	"2012"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	2766
	"2012"	"2012"	"Wake County, NC"	"37183"	"White"	"2106-3"	6573
	"2012"	"2012"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	5067
	"2012"	"2012"	"Franklin County, OH"	"39049"	"White"	"2106-3"	10466
	"2012"	"2012"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	3708
	"2012"	"2012"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	6357
	"2012"	"2012"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	1756
	"2012"	"2012"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	4567
	"2012"	"2012"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	2165
	"2012"	"2012"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	6345
	"2012"	"2012"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	1286
	"2012"	"2012"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	5460
	"2012"	"2012"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	1280
	"2012"	"2012"	"Greenville County, SC"	"45045"	"White"	"2106-3"	3879
	"2012"	"2012"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	2797
	"2012"	"2012"	"Davidson County, TN"	"47037"	"White"	"2106-3"	4976
	"2012"	"2012"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	533
	"2012"	"2012"	"Knox County, TN"	"47093"	"White"	"2106-3"	4239
	"2012"	"2012"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	8419
	"2012"	"2012"	"Shelby County, TN"	"47157"	"White"	"2106-3"	3605
	"2012"	"2012"	"Richmond city, VA"	"51760"	"Black or African American"	"2054-5"	1712
	"2012"	"2012"	"Richmond city, VA"	"51760"	"White"	"2106-3"	829
	"2013"	"2013"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4048
	"2013"	"2013"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	3781
	"2013"	"2013"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4493
	"2013"	"2013"	"Duval County, FL"	"12031"	"White"	"2106-3"	6233
	"2013"	"2013"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4388
	"2013"	"2013"	"Marion County, IN"	"18097"	"White"	"2106-3"	7211
	"2013"	"2013"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2653
	"2013"	"2013"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6214
	"2013"	"2013"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1262
	"2013"	"2013"	"Kent County, MI"	"26081"	"White"	"2106-3"	6119
	"2013"	"2013"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	2753
	"2013"	"2013"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5243
	"2013"	"2013"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	3678
	"2013"	"2013"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	6741
	"2013"	"2013"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	2597
	"2013"	"2013"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	1686
	"2013"	"2013"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	1233
	"2013"	"2013"	"Douglas County, NE"	"31055"	"White"	"2106-3"	5168
	"2013"	"2013"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	2488
	"2013"	"2013"	"Guilford County, NC"	"37081"	"White"	"2106-3"	2411
	"2013"	"2013"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	4417
	"2013"	"2013"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	5743
	"2013"	"2013"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	2906
	"2013"	"2013"	"Wake County, NC"	"37183"	"White"	"2106-3"	6626
	"2013"	"2013"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	5313
	"2013"	"2013"	"Franklin County, OH"	"39049"	"White"	"2106-3"	10708
	"2013"	"2013"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	3691
	"2013"	"2013"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	6098
	"2013"	"2013"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	1788
	"2013"	"2013"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	4483
	"2013"	"2013"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	2184
	"2013"	"2013"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	6452
	"2013"	"2013"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	1245
	"2013"	"2013"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	5436
	"2013"	"2013"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	1254
	"2013"	"2013"	"Greenville County, SC"	"45045"	"White"	"2106-3"	3876
	"2013"	"2013"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	2943
	"2013"	"2013"	"Davidson County, TN"	"47037"	"White"	"2106-3"	4946
	"2013"	"2013"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	525
	"2013"	"2013"	"Knox County, TN"	"47093"	"White"	"2106-3"	4081
	"2013"	"2013"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	8322
	"2013"	"2013"	"Shelby County, TN"	"47157"	"White"	"2106-3"	3654
	"2013"	"2013"	"Richmond city, VA"	"51760"	"Black or African American"	"2054-5"	1641
	"2013"	"2013"	"Richmond city, VA"	"51760"	"White"	"2106-3"	823
	"2014"	"2014"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4122
	"2014"	"2014"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	4021
	"2014"	"2014"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4428
	"2014"	"2014"	"Duval County, FL"	"12031"	"White"	"2106-3"	6092
	"2014"	"2014"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4651
	"2014"	"2014"	"Marion County, IN"	"18097"	"White"	"2106-3"	7256
	"2014"	"2014"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2715
	"2014"	"2014"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6123
	"2014"	"2014"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1196
	"2014"	"2014"	"Kent County, MI"	"26081"	"White"	"2106-3"	6093
	"2014"	"2014"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	2781
	"2014"	"2014"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5355
