"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2008"	"2008"	"75-84 years"	"75-84"	53	3113783	1.7
	"2008"	"2008"	"85+ years"	"85+"	26	1247433	2.1
	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2009"	"2009"	"< 1 year"	"1"	81	1137238	7.1
	"2009"	"2009"	"1-4 years"	"1-4"	102	4573626	2.2
	"2009"	"2009"	"5-14 years"	"5-14"	88	11362616	0.8
	"2009"	"2009"	"15-24 years"	"15-24"	1489	12185490	12.2
	"2009"	"2009"	"25-34 years"	"25-34"	1158	11659173	9.9
	"2009"	"2009"	"35-44 years"	"35-44"	725	11476747	6.3
	"2009"	"2009"	"45-54 years"	"45-54"	531	11693198	4.5
	"2009"	"2009"	"55-64 years"	"55-64"	277	8816248	3.1
	"2009"	"2009"	"65-74 years"	"65-74"	124	5078591	2.4
	"2009"	"2009"	"75-84 years"	"75-84"	57	3111062	1.8
	"2009"	"2009"	"85+ years"	"85+"	33	1293527	2.6
	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2010"	"2010"	"< 1 year"	"1"	91	1121490	8.1
	"2010"	"2010"	"1-4 years"	"1-4"	88	4573833	1.9
	"2010"	"2010"	"5-14 years"	"5-14"	68	11447453	0.6
	"2010"	"2010"	"15-24 years"	"15-24"	1387	12249882	11.3
	"2010"	"2010"	"25-34 years"	"25-34"	1157	11770199	9.8
	"2010"	"2010"	"35-44 years"	"35-44"	646	11414116	5.7
	"2010"	"2010"	"45-54 years"	"45-54"	507	11766808	4.3
	"2010"	"2010"	"55-64 years"	"55-64"	259	9101075	2.8
	"2010"	"2010"	"65-74 years"	"65-74"	115	5200126	2.2
	"2010"	"2010"	"75-84 years"	"75-84"	53	3124890	1.7
	"2010"	"2010"	"85+ years"	"85+"	26	1325995	2.0
	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2011"	"2011"	"< 1 year"	"1"	74	1162273	6.4
	"2011"	"2011"	"1-4 years"	"1-4"	99	4579140	2.2
	"2011"	"2011"	"5-14 years"	"5-14"	77	11480083	0.7
	"2011"	"2011"	"15-24 years"	"15-24"	1211	12309423	9.8
	"2011"	"2011"	"25-34 years"	"25-34"	1089	12005128	9.1
	"2011"	"2011"	"35-44 years"	"35-44"	639	11376257	5.6
	"2011"	"2011"	"45-54 years"	"45-54"	521	11766620	4.4
	"2011"	"2011"	"55-64 years"	"55-64"	258	9514041	2.7
	"2011"	"2011"	"65-74 years"	"65-74"	124	5406698	2.3
	"2011"	"2011"	"75-84 years"	"75-84"	53	3158057	1.7
	"2011"	"2011"	"85+ years"	"85+"	29	1390831	2.1
	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2012"	"2012"	"< 1 year"	"1"	64	1149281	5.6
	"2012"	"2012"	"1-4 years"	"1-4"	73	4580765	1.6
	"2012"	"2012"	"5-14 years"	"5-14"	68	11504242	0.6
	"2012"	"2012"	"15-24 years"	"15-24"	1233	12375738	10.0
	"2012"	"2012"	"25-34 years"	"25-34"	1135	12189845	9.3
	"2012"	"2012"	"35-44 years"	"35-44"	692	11394859	6.1
	"2012"	"2012"	"45-54 years"	"45-54"	505	11713380	4.3
	"2012"	"2012"	"55-64 years"	"55-64"	280	9692508	2.9
	"2012"	"2012"	"65-74 years"	"65-74"	107	5763845	1.9
	"2012"	"2012"	"75-84 years"	"75-84"	57	3190028	1.8
	"2012"	"2012"	"85+ years"	"85+"	24	1435013	1.7
	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2013"	"2013"	"< 1 year"	"1"	75	1139118	6.6
	"2013"	"2013"	"1-4 years"	"1-4"	73	4562544	1.6
	"2013"	"2013"	"5-14 years"	"5-14"	62	11538725	0.5
	"2013"	"2013"	"15-24 years"	"15-24"	1131	12336957	9.2
	"2013"	"2013"	"25-34 years"	"25-34"	1044	12414407	8.4
	"2013"	"2013"	"35-44 years"	"35-44"	676	11402041	5.9
	"2013"	"2013"	"45-54 years"	"45-54"	513	11657611	4.4
	"2013"	"2013"	"55-64 years"	"55-64"	303	9913334	3.1
	"2013"	"2013"	"65-74 years"	"65-74"	126	6074911	2.1
	"2013"	"2013"	"75-84 years"	"75-84"	75	3239849	2.3
	"2013"	"2013"	"85+ years"	"85+"	19	1472204	Unreliable
	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2014"	"2014"	"< 1 year"	"1"	48	1146297	4.2
	"2014"	"2014"	"1-4 years"	"1-4"	79	4589415	1.7
	"2014"	"2014"	"5-14 years"	"5-14"	54	11554446	0.5
	"2014"	"2014"	"15-24 years"	"15-24"	1101	12335894	8.9
	"2014"	"2014"	"25-34 years"	"25-34"	1076	12685159	8.5
	"2014"	"2014"	"35-44 years"	"35-44"	695	11476674	6.1
	"2014"	"2014"	"45-54 years"	"45-54"	494	11684089	4.2
	"2014"	"2014"	"55-64 years"	"55-64"	307	10161576	3.0
	"2014"	"2014"	"65-74 years"	"65-74"	124	6378304	1.9
	"2014"	"2014"	"75-84 years"	"75-84"	65	3301777	2.0
	"2014"	"2014"	"85+ years"	"85+"	29	1511349	1.9
	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2015"	"2015"	"< 1 year"	"1"	52	1154851	4.5
	"2015"	"2015"	"1-4 years"	"1-4"	78	4601554	1.7
	"2015"	"2015"	"5-14 years"	"5-14"	62	11559980	0.5
	"2015"	"2015"	"15-24 years"	"15-24"	1223	12283794	10.0
	"2015"	"2015"	"25-34 years"	"25-34"	1221	12916517	9.5
	"2015"	"2015"	"35-44 years"	"35-44"	734	11535915	6.4
	"2015"	"2015"	"45-54 years"	"45-54"	552	11683877	4.7
	"2015"	"2015"	"55-64 years"	"55-64"	317	10408459	3.0
	"2015"	"2015"	"65-74 years"	"65-74"	130	6673599	1.9
	"2015"	"2015"	"75-84 years"	"75-84"	67	3362126	2.0
	"2015"	"2015"	"85+ years"	"85+"	25	1548098	1.6
	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2016"	"2016"	"< 1 year"	"1"	50	1154485	4.3
	"2016"	"2016"	"1-4 years"	"1-4"	81	4590951	1.8
	"2016"	"2016"	"5-14 years"	"5-14"	58	11581158	0.5
	"2016"	"2016"	"15-24 years"	"15-24"	1224	12164679	10.1
	"2016"	"2016"	"25-34 years"	"25-34"	1296	13082540	9.9
	"2016"	"2016"	"35-44 years"	"35-44"	874	11506156	7.6
	"2016"	"2016"	"45-54 years"	"45-54"	524	11590582	4.5
	"2016"	"2016"	"55-64 years"	"55-64"	373	10555306	3.5
	"2016"	"2016"	"65-74 years"	"65-74"	131	6927256	1.9
	"2016"	"2016"	"75-84 years"	"75-84"	63	3433652	1.8
	"2016"	"2016"	"85+ years"	"85+"	28	1581122	1.8
	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2017"	"2017"	"< 1 year"	"1"	43	1142157	3.8
	"2017"	"2017"	"1-4 years"	"1-4"	55	4603165	1.2
	"2017"	"2017"	"5-14 years"	"5-14"	80	11593585	0.7
	"2017"	"2017"	"15-24 years"	"15-24"	1108	12076143	9.2
	"2017"	"2017"	"25-34 years"	"25-34"	1259	13312093	9.5
	"2017"	"2017"	"35-44 years"	"35-44"	814	11651462	7.0
	"2017"	"2017"	"45-54 years"	"45-54"	589	11530498	5.1
	"2017"	"2017"	"55-64 years"	"55-64"	396	10729874	3.7
	"2017"	"2017"	"65-74 years"	"65-74"	143	7192710	2.0
	"2017"	"2017"	"75-84 years"	"75-84"	49	3547326	1.4
	"2017"	"2017"	"85+ years"	"85+"	21	1616987	1.3
	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2017"
"Query Parameters:"
"Title:"
"2013 Urbanization: All"
"Autopsy: All"
"Gender: All"
"Hispanic Origin: All"
"ICD-10 113 Cause List: #Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"
"Place of Death: All"
"Race: All"
"States: California (06), St. Louis County, MO (29189), St. Louis city, MO (29510), New York (36), Texas (48)"
"Ten-Year Age Groups: All"
"Weekday: All"
"Year/Month: All"
"Group By: Year, Ten-Year Age Groups"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Jan 10, 2019 1:42:26 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Jan 10, 2019 1:42:26 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
"3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"5. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"6. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010 are April 1"
"Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident population, from"
"the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are"
"April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population"
"figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 -"
"2009 differ slightly from previously published reports, due to use of the population estimates which were available at the time"
"of release."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
