"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Marion County, IN"	"18097"	"2004"	"2004"	"Female"	"F"	3600	450051	799.9	748.0
	"Marion County, IN"	"18097"	"2004"	"2004"	"Male"	"M"	3287	420327	782.0	1067.7
	"Marion County, IN"	"18097"	"2005"	"2005"	"Female"	"F"	3754	451651	831.2	776.6
	"Marion County, IN"	"18097"	"2005"	"2005"	"Male"	"M"	3221	421659	763.9	1032.7
	"Marion County, IN"	"18097"	"2006"	"2006"	"Female"	"F"	3575	454282	787.0	733.2
	"Marion County, IN"	"18097"	"2006"	"2006"	"Male"	"M"	3288	424233	775.0	1025.6
	"Marion County, IN"	"18097"	"2007"	"2007"	"Female"	"F"	3400	457092	743.8	694.0
	"Marion County, IN"	"18097"	"2007"	"2007"	"Male"	"M"	3065	426499	718.6	954.1
	"Marion County, IN"	"18097"	"2008"	"2008"	"Female"	"F"	3555	460457	772.1	716.3
	"Marion County, IN"	"18097"	"2008"	"2008"	"Male"	"M"	3166	429047	737.9	959.3
	"Marion County, IN"	"18097"	"2009"	"2009"	"Female"	"F"	3503	465051	753.3	700.7
	"Marion County, IN"	"18097"	"2009"	"2009"	"Male"	"M"	3210	433343	740.8	957.6
	"Marion County, IN"	"18097"	"2010"	"2010"	"Female"	"F"	3545	467706	758.0	700.5
	"Marion County, IN"	"18097"	"2010"	"2010"	"Male"	"M"	3233	435687	742.0	956.3
	"Marion County, IN"	"18097"	"2011"	"2011"	"Female"	"F"	3531	471725	748.5	688.9
	"Marion County, IN"	"18097"	"2011"	"2011"	"Male"	"M"	3290	439571	748.5	956.4
	"Marion County, IN"	"18097"	"2012"	"2012"	"Female"	"F"	3587	475575	754.2	692.4
	"Marion County, IN"	"18097"	"2012"	"2012"	"Male"	"M"	3482	443402	785.3	989.1
	"Marion County, IN"	"18097"	"2013"	"2013"	"Female"	"F"	3560	480459	741.0	676.7
	"Marion County, IN"	"18097"	"2013"	"2013"	"Male"	"M"	3375	447822	753.6	934.2
	"Marion County, IN"	"18097"	"2014"	"2014"	"Female"	"F"	3740	484395	772.1	703.6
	"Marion County, IN"	"18097"	"2014"	"2014"	"Male"	"M"	3377	449848	750.7	927.6
	"Marion County, IN"	"18097"	"2015"	"2015"	"Female"	"F"	3800	486334	781.4	709.5
	"Marion County, IN"	"18097"	"2015"	"2015"	"Male"	"M"	3404	452686	752.0	912.4
	"Marion County, IN"	"18097"	"2016"	"2016"	"Female"	"F"	3746	487834	767.9	695.5
	"Marion County, IN"	"18097"	"2016"	"2016"	"Male"	"M"	3585	453395	790.7	956.4
	"Marion County, IN"	"18097"	"2017"	"2017"	"Female"	"F"	3860	492417	783.9	694.3
	"Marion County, IN"	"18097"	"2017"	"2017"	"Male"	"M"	3672	457665	802.3	938.6
	"Marion County, IN"	"18097"	"2018"	"2018"	"Female"	"F"	3731	494577	754.4	660.7
	"Marion County, IN"	"18097"	"2018"	"2018"	"Male"	"M"	3583	460093	778.8	896.1
	"Jefferson County, KY"	"21111"	"2000"	"2000"	"Female"	"F"	3636	362005	1004.4	796.7
	"Jefferson County, KY"	"21111"	"2000"	"2000"	"Male"	"M"	3098	331599	934.3	1135.4
	"Jefferson County, KY"	"21111"	"2001"	"2001"	"Female"	"F"	3589	363380	987.7	782.1
	"Jefferson County, KY"	"21111"	"2001"	"2001"	"Male"	"M"	3091	333779	926.1	1123.2
	"Jefferson County, KY"	"21111"	"2002"	"2002"	"Female"	"F"	3643	364572	999.3	792.8
	"Jefferson County, KY"	"21111"	"2002"	"2002"	"Male"	"M"	3203	335238	955.4	1143.7
	"Jefferson County, KY"	"21111"	"2003"	"2003"	"Female"	"F"	3582	366983	976.1	770.7
	"Jefferson County, KY"	"21111"	"2003"	"2003"	"Male"	"M"	3079	336987	913.7	1078.9
	"Jefferson County, KY"	"21111"	"2004"	"2004"	"Female"	"F"	3421	367429	931.1	735.1
	"Jefferson County, KY"	"21111"	"2004"	"2004"	"Male"	"M"	2903	339399	855.3	1004.3
	"Jefferson County, KY"	"21111"	"2005"	"2005"	"Female"	"F"	3431	368895	930.1	721.6
	"Jefferson County, KY"	"21111"	"2005"	"2005"	"Male"	"M"	2958	341123	867.1	990.4
	"Jefferson County, KY"	"21111"	"2006"	"2006"	"Female"	"F"	3401	371642	915.1	702.7
	"Jefferson County, KY"	"21111"	"2006"	"2006"	"Male"	"M"	2999	343507	873.1	994.0
	"Jefferson County, KY"	"21111"	"2007"	"2007"	"Female"	"F"	3478	374800	928.0	709.1
	"Jefferson County, KY"	"21111"	"2007"	"2007"	"Male"	"M"	3013	348240	865.2	970.7
	"Jefferson County, KY"	"21111"	"2008"	"2008"	"Female"	"F"	3419	378794	902.6	688.8
	"Jefferson County, KY"	"21111"	"2008"	"2008"	"Male"	"M"	3015	351400	858.0	953.2
	"Jefferson County, KY"	"21111"	"2009"	"2009"	"Female"	"F"	3341	381036	876.8	666.3
	"Jefferson County, KY"	"21111"	"2009"	"2009"	"Male"	"M"	2946	355669	828.3	896.3
	"Jefferson County, KY"	"21111"	"2010"	"2010"	"Female"	"F"	3515	383397	916.8	691.6
	"Jefferson County, KY"	"21111"	"2010"	"2010"	"Male"	"M"	3057	357699	854.6	926.6
	"Jefferson County, KY"	"21111"	"2011"	"2011"	"Female"	"F"	3530	386533	913.2	678.0
	"Jefferson County, KY"	"21111"	"2011"	"2011"	"Male"	"M"	3147	360373	873.3	927.1
	"Jefferson County, KY"	"21111"	"2012"	"2012"	"Female"	"F"	3573	388159	920.5	682.8
	"Jefferson County, KY"	"21111"	"2012"	"2012"	"Male"	"M"	3196	362669	881.2	922.7
	"Jefferson County, KY"	"21111"	"2013"	"2013"	"Female"	"F"	3526	391609	900.4	667.6
	"Jefferson County, KY"	"21111"	"2013"	"2013"	"Male"	"M"	3205	365223	877.5	903.8
	"Jefferson County, KY"	"21111"	"2014"	"2014"	"Female"	"F"	3622	393365	920.8	674.0
	"Jefferson County, KY"	"21111"	"2014"	"2014"	"Male"	"M"	3292	366661	897.8	910.2
	"Jefferson County, KY"	"21111"	"2015"	"2015"	"Female"	"F"	3740	394885	947.1	688.9
	"Jefferson County, KY"	"21111"	"2015"	"2015"	"Male"	"M"	3416	368738	926.4	921.8
	"Jefferson County, KY"	"21111"	"2016"	"2016"	"Female"	"F"	3908	395377	988.4	715.7
	"Jefferson County, KY"	"21111"	"2016"	"2016"	"Male"	"M"	3413	369975	922.5	904.0
	"Jefferson County, KY"	"21111"	"2017"	"2017"	"Female"	"F"	3811	398199	957.1	685.0
	"Jefferson County, KY"	"21111"	"2017"	"2017"	"Male"	"M"	3427	372959	918.9	892.4
	"Jefferson County, KY"	"21111"	"2018"	"2018"	"Female"	"F"	3841	398090	964.9	681.3
	"Jefferson County, KY"	"21111"	"2018"	"2018"	"Male"	"M"	3534	372427	948.9	903.8
	"Kent County, MI"	"26081"	"2000"	"2000"	"Female"	"F"	2030	291717	695.9	665.0
	"Kent County, MI"	"26081"	"2000"	"2000"	"Male"	"M"	1829	282618	647.2	960.6
	"Kent County, MI"	"26081"	"2001"	"2001"	"Female"	"F"	2010	295097	681.1	648.5
	"Kent County, MI"	"26081"	"2001"	"2001"	"Male"	"M"	1750	286127	611.6	903.7
	"Kent County, MI"	"26081"	"2002"	"2002"	"Female"	"F"	2023	297219	680.6	645.4
	"Kent County, MI"	"26081"	"2002"	"2002"	"Male"	"M"	1757	287721	610.7	883.6
	"Kent County, MI"	"26081"	"2003"	"2003"	"Female"	"F"	2055	298666	688.1	644.9
	"Kent County, MI"	"26081"	"2003"	"2003"	"Male"	"M"	1732	289124	599.1	839.9
	"Kent County, MI"	"26081"	"2004"	"2004"	"Female"	"F"	2104	299900	701.6	652.0
	"Kent County, MI"	"26081"	"2004"	"2004"	"Male"	"M"	1795	289654	619.7	863.3
	"Kent County, MI"	"26081"	"2005"	"2005"	"Female"	"F"	2097	301253	696.1	642.4
	"Kent County, MI"	"26081"	"2005"	"2005"	"Male"	"M"	1849	290957	635.5	878.0
	"Kent County, MI"	"26081"	"2006"	"2006"	"Female"	"F"	2036	303008	671.9	608.1
	"Kent County, MI"	"26081"	"2006"	"2006"	"Male"	"M"	1676	292183	573.6	770.9
	"Kent County, MI"	"26081"	"2007"	"2007"	"Female"	"F"	1962	304597	644.1	581.4
	"Kent County, MI"	"26081"	"2007"	"2007"	"Male"	"M"	1740	293480	592.9	778.8
	"Kent County, MI"	"26081"	"2008"	"2008"	"Female"	"F"	2060	305628	674.0	591.3
	"Kent County, MI"	"26081"	"2008"	"2008"	"Male"	"M"	1857	293606	632.5	811.8
	"Kent County, MI"	"26081"	"2009"	"2009"	"Female"	"F"	2035	306802	663.3	571.8
	"Kent County, MI"	"26081"	"2009"	"2009"	"Male"	"M"	1761	294635	597.7	744.8
	"Kent County, MI"	"26081"	"2010"	"2010"	"Female"	"F"	2065	307520	671.5	573.0
	"Kent County, MI"	"26081"	"2010"	"2010"	"Male"	"M"	1823	295102	617.8	755.1
	"Kent County, MI"	"26081"	"2011"	"2011"	"Female"	"F"	2180	310337	702.5	592.0
	"Kent County, MI"	"26081"	"2011"	"2011"	"Male"	"M"	1881	298116	631.0	753.5
	"Kent County, MI"	"26081"	"2012"	"2012"	"Female"	"F"	2030	312879	648.8	542.7
	"Kent County, MI"	"26081"	"2012"	"2012"	"Male"	"M"	1902	301583	630.7	737.9
	"Kent County, MI"	"26081"	"2013"	"2013"	"Female"	"F"	2138	316192	676.2	561.8
	"Kent County, MI"	"26081"	"2013"	"2013"	"Male"	"M"	1926	305508	630.4	729.0
	"Kent County, MI"	"26081"	"2014"	"2014"	"Female"	"F"	2215	319958	692.3	573.3
	"Kent County, MI"	"26081"	"2014"	"2014"	"Male"	"M"	2048	309279	662.2	745.9
	"Kent County, MI"	"26081"	"2015"	"2015"	"Female"	"F"	2267	323185	701.5	571.5
	"Kent County, MI"	"26081"	"2015"	"2015"	"Male"	"M"	2047	313184	653.6	732.0
	"Kent County, MI"	"26081"	"2016"	"2016"	"Female"	"F"	2249	325699	690.5	560.5
	"Kent County, MI"	"26081"	"2016"	"2016"	"Male"	"M"	2142	316474	676.8	758.2
	"Kent County, MI"	"26081"	"2017"	"2017"	"Female"	"F"	2219	328779	674.9	544.8
	"Kent County, MI"	"26081"	"2017"	"2017"	"Male"	"M"	2120	319815	662.9	723.3
	"Kent County, MI"	"26081"	"2018"	"2018"	"Female"	"F"	2349	331450	708.7	570.4
	"Kent County, MI"	"26081"	"2018"	"2018"	"Male"	"M"	2181	322336	676.6	728.4
	"Jackson County, MO"	"29095"	"2000"	"2000"	"Female"	"F"	3088	339442	909.7	750.3
	"Jackson County, MO"	"29095"	"2000"	"2000"	"Male"	"M"	2552	315438	809.0	1034.9
	"Jackson County, MO"	"29095"	"2001"	"2001"	"Female"	"F"	3097	340580	909.3	756.4
	"Jackson County, MO"	"29095"	"2001"	"2001"	"Male"	"M"	2566	316432	810.9	1028.0
	"Jackson County, MO"	"29095"	"2002"	"2002"	"Female"	"F"	2973	341337	871.0	726.7
	"Jackson County, MO"	"29095"	"2002"	"2002"	"Male"	"M"	2584	317428	814.0	1026.5
	"Jackson County, MO"	"29095"	"2003"	"2003"	"Female"	"F"	3069	341223	899.4	744.8
	"Jackson County, MO"	"29095"	"2003"	"2003"	"Male"	"M"	2499	317691	786.6	976.0
	"Jackson County, MO"	"29095"	"2004"	"2004"	"Female"	"F"	2902	340819	851.5	710.1
	"Jackson County, MO"	"29095"	"2004"	"2004"	"Male"	"M"	2596	317488	817.7	1006.3
	"Jackson County, MO"	"29095"	"2005"	"2005"	"Female"	"F"	2957	341002	867.2	722.3
	"Jackson County, MO"	"29095"	"2005"	"2005"	"Male"	"M"	2595	317590	817.1	975.9
	"Jackson County, MO"	"29095"	"2006"	"2006"	"Female"	"F"	3029	341965	885.8	730.5
	"Jackson County, MO"	"29095"	"2006"	"2006"	"Male"	"M"	2613	318574	820.2	974.7
	"Jackson County, MO"	"29095"	"2007"	"2007"	"Female"	"F"	2871	342858	837.4	688.3
	"Jackson County, MO"	"29095"	"2007"	"2007"	"Male"	"M"	2546	320137	795.3	927.0
	"Jackson County, MO"	"29095"	"2008"	"2008"	"Female"	"F"	2964	343819	862.1	704.4
	"Jackson County, MO"	"29095"	"2008"	"2008"	"Male"	"M"	2619	321608	814.3	934.1
	"Jackson County, MO"	"29095"	"2009"	"2009"	"Female"	"F"	2846	346555	821.2	677.2
	"Jackson County, MO"	"29095"	"2009"	"2009"	"Male"	"M"	2525	324208	778.8	879.7
	"Jackson County, MO"	"29095"	"2010"	"2010"	"Female"	"F"	2909	348305	835.2	685.9
	"Jackson County, MO"	"29095"	"2010"	"2010"	"Male"	"M"	2473	325853	758.9	855.2
	"Jackson County, MO"	"29095"	"2011"	"2011"	"Female"	"F"	2889	349229	827.3	664.6
	"Jackson County, MO"	"29095"	"2011"	"2011"	"Male"	"M"	2577	327131	787.8	869.9
	"Jackson County, MO"	"29095"	"2012"	"2012"	"Female"	"F"	2746	349894	784.8	624.6
	"Jackson County, MO"	"29095"	"2012"	"2012"	"Male"	"M"	2772	327483	846.5	916.2
	"Jackson County, MO"	"29095"	"2013"	"2013"	"Female"	"F"	2930	351001	834.8	663.3
	"Jackson County, MO"	"29095"	"2013"	"2013"	"Male"	"M"	2701	328995	821.0	870.6
	"Jackson County, MO"	"29095"	"2014"	"2014"	"Female"	"F"	2869	352822	813.2	642.8
	"Jackson County, MO"	"29095"	"2014"	"2014"	"Male"	"M"	2729	330369	826.0	869.8
	"Jackson County, MO"	"29095"	"2015"	"2015"	"Female"	"F"	2961	354967	834.2	655.5
	"Jackson County, MO"	"29095"	"2015"	"2015"	"Male"	"M"	2774	332656	833.9	863.7
	"Jackson County, MO"	"29095"	"2016"	"2016"	"Female"	"F"	2883	357130	807.3	627.0
	"Jackson County, MO"	"29095"	"2016"	"2016"	"Male"	"M"	2653	334671	792.7	813.8
	"Jackson County, MO"	"29095"	"2017"	"2017"	"Female"	"F"	2884	360588	799.8	617.4
	"Jackson County, MO"	"29095"	"2017"	"2017"	"Male"	"M"	2896	338307	856.0	864.3
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Female"	"F"	2865	361556	792.4	602.4
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Male"	"M"	2792	338751	824.2	811.2
	"St. Louis County, MO"	"29189"	"2000"	"2000"	"Female"	"F"	5136	534944	960.1	710.2
	"St. Louis County, MO"	"29189"	"2000"	"2000"	"Male"	"M"	4057	481371	842.8	966.3
	"St. Louis County, MO"	"29189"	"2001"	"2001"	"Female"	"F"	5164	534859	965.5	711.1
	"St. Louis County, MO"	"29189"	"2001"	"2001"	"Male"	"M"	3974	481384	825.5	927.9
	"St. Louis County, MO"	"29189"	"2002"	"2002"	"Female"	"F"	5185	533820	971.3	709.2
	"St. Louis County, MO"	"29189"	"2002"	"2002"	"Male"	"M"	4193	480539	872.6	961.8
	"St. Louis County, MO"	"29189"	"2003"	"2003"	"Female"	"F"	5079	532429	953.9	690.0
	"St. Louis County, MO"	"29189"	"2003"	"2003"	"Male"	"M"	3925	479249	819.0	891.4
	"St. Louis County, MO"	"29189"	"2004"	"2004"	"Female"	"F"	4873	530589	918.4	656.4
	"St. Louis County, MO"	"29189"	"2004"	"2004"	"Male"	"M"	3980	477224	834.0	882.4
	"St. Louis County, MO"	"29189"	"2005"	"2005"	"Female"	"F"	4796	528992	906.6	647.4
	"St. Louis County, MO"	"29189"	"2005"	"2005"	"Male"	"M"	3860	475117	812.4	849.9
	"St. Louis County, MO"	"29189"	"2006"	"2006"	"Female"	"F"	4923	527983	932.4	657.6
	"St. Louis County, MO"	"29189"	"2006"	"2006"	"Male"	"M"	3857	474067	813.6	835.0
	"St. Louis County, MO"	"29189"	"2007"	"2007"	"Female"	"F"	4685	526449	889.9	612.4
	"St. Louis County, MO"	"29189"	"2007"	"2007"	"Male"	"M"	3783	472940	799.9	803.4
	"St. Louis County, MO"	"29189"	"2008"	"2008"	"Female"	"F"	4916	525876	934.8	635.9
	"St. Louis County, MO"	"29189"	"2008"	"2008"	"Male"	"M"	4020	472455	850.9	836.1
	"St. Louis County, MO"	"29189"	"2009"	"2009"	"Female"	"F"	4691	525910	892.0	600.5
	"St. Louis County, MO"	"29189"	"2009"	"2009"	"Male"	"M"	3826	472708	809.4	781.0
	"St. Louis County, MO"	"29189"	"2010"	"2010"	"Female"	"F"	4765	526051	905.8	604.8
	"St. Louis County, MO"	"29189"	"2010"	"2010"	"Male"	"M"	3908	472903	826.4	787.7
	"St. Louis County, MO"	"29189"	"2011"	"2011"	"Female"	"F"	4662	525964	886.4	585.4
	"St. Louis County, MO"	"29189"	"2011"	"2011"	"Male"	"M"	3872	472728	819.1	762.2
	"St. Louis County, MO"	"29189"	"2012"	"2012"	"Female"	"F"	4693	526792	890.9	578.0
	"St. Louis County, MO"	"29189"	"2012"	"2012"	"Male"	"M"	4067	473646	858.7	786.0
	"St. Louis County, MO"	"29189"	"2013"	"2013"	"Female"	"F"	4832	527321	916.3	584.7
	"St. Louis County, MO"	"29189"	"2013"	"2013"	"Male"	"M"	4046	474123	853.4	762.4
	"St. Louis County, MO"	"29189"	"2014"	"2014"	"Female"	"F"	4751	527427	900.8	571.2
	"St. Louis County, MO"	"29189"	"2014"	"2014"	"Male"	"M"	4100	474449	864.2	758.8
	"St. Louis County, MO"	"29189"	"2015"	"2015"	"Female"	"F"	4908	528012	929.5	577.3
	"St. Louis County, MO"	"29189"	"2015"	"2015"	"Male"	"M"	4286	475350	901.7	783.9
	"St. Louis County, MO"	"29189"	"2016"	"2016"	"Female"	"F"	4934	524651	940.4	579.2
	"St. Louis County, MO"	"29189"	"2016"	"2016"	"Male"	"M"	4217	473930	889.8	760.8
	"St. Louis County, MO"	"29189"	"2017"	"2017"	"Female"	"F"	5009	523675	956.5	584.2
	"St. Louis County, MO"	"29189"	"2017"	"2017"	"Male"	"M"	4311	473051	911.3	771.9
	"St. Louis County, MO"	"29189"	"2018"	"2018"	"Female"	"F"	5253	524058	1002.4	608.1
	"St. Louis County, MO"	"29189"	"2018"	"2018"	"Male"	"M"	4601	472887	973.0	811.7
	"St. Louis city, MO"	"29510"	"2000"	"2000"	"Female"	"F"	2109	184622	1142.3	859.8
	"St. Louis city, MO"	"29510"	"2000"	"2000"	"Male"	"M"	1786	163567	1091.9	1326.5
	"St. Louis city, MO"	"29510"	"2001"	"2001"	"Female"	"F"	2052	181620	1129.8	863.9
	"St. Louis city, MO"	"29510"	"2001"	"2001"	"Male"	"M"	1760	161623	1089.0	1334.4
	"St. Louis city, MO"	"29510"	"2002"	"2002"	"Female"	"F"	2170	178703	1214.3	937.2
	"St. Louis city, MO"	"29510"	"2002"	"2002"	"Male"	"M"	1690	159754	1057.9	1305.5
	"St. Louis city, MO"	"29510"	"2003"	"2003"	"Female"	"F"	1995	176326	1131.4	896.4
	"St. Louis city, MO"	"29510"	"2003"	"2003"	"Male"	"M"	1694	158567	1068.3	1326.6
	"St. Louis city, MO"	"29510"	"2004"	"2004"	"Female"	"F"	1835	173948	1054.9	850.3
