"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Duval County, FL"	"12031"	"2011"	"2011"	"White"	"2106-3"	4821	500507	963.2	797.4
	"Duval County, FL"	"12031"	"2012"	"2012"	"Black or African American"	"2054-5"	1674	261660	639.8	865.6
	"Duval County, FL"	"12031"	"2012"	"2012"	"White"	"2106-3"	4649	501375	927.3	750.1
	"Duval County, FL"	"12031"	"2013"	"2013"	"Black or African American"	"2054-5"	1808	264653	683.2	925.3
	"Duval County, FL"	"12031"	"2013"	"2013"	"White"	"2106-3"	4927	501885	981.7	781.6
	"Duval County, FL"	"12031"	"2014"	"2014"	"Black or African American"	"2054-5"	1691	269118	628.3	832.1
	"Duval County, FL"	"12031"	"2014"	"2014"	"White"	"2106-3"	4797	503736	952.3	745.1
	"Duval County, FL"	"12031"	"2015"	"2015"	"Black or African American"	"2054-5"	1796	273475	656.7	843.8
	"Duval County, FL"	"12031"	"2015"	"2015"	"White"	"2106-3"	4906	507960	965.8	750.5
	"Duval County, FL"	"12031"	"2016"	"2016"	"Black or African American"	"2054-5"	1780	279295	637.3	801.9
	"Duval County, FL"	"12031"	"2016"	"2016"	"White"	"2106-3"	4916	510200	963.5	734.8
	"Duval County, FL"	"12031"	"2017"	"2017"	"Black or African American"	"2054-5"	1824	284277	641.6	806.0
	"Duval County, FL"	"12031"	"2017"	"2017"	"White"	"2106-3"	5189	509678	1018.1	789.0
	"Duval County, FL"	"12031"	"2018"	"2018"	"Black or African American"	"2054-5"	2085	288621	722.4	885.2
	"Duval County, FL"	"12031"	"2018"	"2018"	"White"	"2106-3"	5194	510673	1017.1	769.3
	"Marion County, IN"	"18097"	"2000"	"2000"	"Black or African American"	"2054-5"	1600	211815	755.4	1095.7
	"Marion County, IN"	"18097"	"2000"	"2000"	"White"	"2106-3"	5500	599103	918.0	906.1
	"Marion County, IN"	"18097"	"2001"	"2001"	"Black or African American"	"2054-5"	1641	216298	758.7	1118.3
	"Marion County, IN"	"18097"	"2001"	"2001"	"White"	"2106-3"	5426	593862	913.7	893.2
	"Marion County, IN"	"18097"	"2002"	"2002"	"Black or African American"	"2054-5"	1658	219768	754.4	1117.7
	"Marion County, IN"	"18097"	"2002"	"2002"	"White"	"2106-3"	5267	585905	899.0	867.4
	"Marion County, IN"	"18097"	"2003"	"2003"	"Black or African American"	"2054-5"	1682	223078	754.0	1113.3
	"Marion County, IN"	"18097"	"2003"	"2003"	"White"	"2106-3"	5259	579772	907.1	860.1
	"Marion County, IN"	"18097"	"2004"	"2004"	"Black or African American"	"2054-5"	1554	226602	685.8	1002.8
	"Marion County, IN"	"18097"	"2004"	"2004"	"White"	"2106-3"	5241	572539	915.4	856.1
	"Marion County, IN"	"18097"	"2005"	"2005"	"Black or African American"	"2054-5"	1685	229847	733.1	1071.4
	"Marion County, IN"	"18097"	"2005"	"2005"	"White"	"2106-3"	5192	565988	917.3	846.7
	"Marion County, IN"	"18097"	"2006"	"2006"	"Black or African American"	"2054-5"	1681	233783	719.0	1033.2
	"Marion County, IN"	"18097"	"2006"	"2006"	"White"	"2106-3"	5078	560594	905.8	823.7
	"Marion County, IN"	"18097"	"2007"	"2007"	"Black or African American"	"2054-5"	1559	237214	657.2	937.8
	"Marion County, IN"	"18097"	"2007"	"2007"	"White"	"2106-3"	4812	555874	865.7	779.0
	"Marion County, IN"	"18097"	"2008"	"2008"	"Black or African American"	"2054-5"	1577	240955	654.5	916.7
	"Marion County, IN"	"18097"	"2008"	"2008"	"White"	"2106-3"	5024	552276	909.7	804.4
	"Marion County, IN"	"18097"	"2009"	"2009"	"Black or African American"	"2054-5"	1638	245085	668.3	919.3
	"Marion County, IN"	"18097"	"2009"	"2009"	"White"	"2106-3"	4971	550528	903.0	793.3
	"Marion County, IN"	"18097"	"2010"	"2010"	"Black or African American"	"2054-5"	1565	248459	629.9	872.8
	"Marion County, IN"	"18097"	"2010"	"2010"	"White"	"2106-3"	5090	547310	930.0	806.1
	"Marion County, IN"	"18097"	"2011"	"2011"	"Black or African American"	"2054-5"	1692	249198	679.0	915.6
	"Marion County, IN"	"18097"	"2011"	"2011"	"White"	"2106-3"	4994	550868	906.6	781.4
	"Marion County, IN"	"18097"	"2012"	"2012"	"Black or African American"	"2054-5"	1716	255481	671.7	910.0
	"Marion County, IN"	"18097"	"2012"	"2012"	"White"	"2106-3"	5226	549006	951.9	810.8
	"Marion County, IN"	"18097"	"2013"	"2013"	"Black or African American"	"2054-5"	1717	259904	660.6	883.0
	"Marion County, IN"	"18097"	"2013"	"2013"	"White"	"2106-3"	5070	551041	920.1	778.3
	"Marion County, IN"	"18097"	"2014"	"2014"	"Black or African American"	"2054-5"	1814	263708	687.9	906.6
	"Marion County, IN"	"18097"	"2014"	"2014"	"White"	"2106-3"	5153	550022	936.9	782.8
	"Marion County, IN"	"18097"	"2015"	"2015"	"Black or African American"	"2054-5"	1832	266942	686.3	896.7
	"Marion County, IN"	"18097"	"2015"	"2015"	"White"	"2106-3"	5213	547428	952.3	790.6
	"Marion County, IN"	"18097"	"2016"	"2016"	"Black or African American"	"2054-5"	1923	272323	706.1	912.0
	"Marion County, IN"	"18097"	"2016"	"2016"	"White"	"2106-3"	5218	539202	967.7	790.3
	"Marion County, IN"	"18097"	"2017"	"2017"	"Black or African American"	"2054-5"	1976	276675	714.2	908.6
	"Marion County, IN"	"18097"	"2017"	"2017"	"White"	"2106-3"	5338	537153	993.8	784.6
	"Marion County, IN"	"18097"	"2018"	"2018"	"Black or African American"	"2054-5"	1882	280665	670.6	826.6
	"Marion County, IN"	"18097"	"2018"	"2018"	"White"	"2106-3"	5222	533161	979.4	759.0
	"Jefferson County, KY"	"21111"	"2000"	"2000"	"Black or African American"	"2054-5"	1077	133117	809.1	1097.6
	"Jefferson County, KY"	"21111"	"2000"	"2000"	"White"	"2106-3"	5593	535942	1043.6	902.9
	"Jefferson County, KY"	"21111"	"2001"	"2001"	"Black or African American"	"2054-5"	1111	135452	820.2	1130.2
	"Jefferson County, KY"	"21111"	"2001"	"2001"	"White"	"2106-3"	5524	534828	1032.9	886.9
	"Jefferson County, KY"	"21111"	"2002"	"2002"	"Black or African American"	"2054-5"	1138	137739	826.2	1150.5
	"Jefferson County, KY"	"21111"	"2002"	"2002"	"White"	"2106-3"	5650	532782	1060.5	901.0
	"Jefferson County, KY"	"21111"	"2003"	"2003"	"Black or African American"	"2054-5"	1138	139850	813.7	1138.7
	"Jefferson County, KY"	"21111"	"2003"	"2003"	"White"	"2106-3"	5448	532009	1024.0	860.7
	"Jefferson County, KY"	"21111"	"2004"	"2004"	"Black or African American"	"2054-5"	1083	142868	758.0	1053.6
	"Jefferson County, KY"	"21111"	"2004"	"2004"	"White"	"2106-3"	5190	529279	980.6	816.1
	"Jefferson County, KY"	"21111"	"2005"	"2005"	"Black or African American"	"2054-5"	1074	145070	740.3	1024.7
	"Jefferson County, KY"	"21111"	"2005"	"2005"	"White"	"2106-3"	5241	527587	993.4	806.9
	"Jefferson County, KY"	"21111"	"2006"	"2006"	"Black or African American"	"2054-5"	1141	147261	774.8	1055.6
	"Jefferson County, KY"	"21111"	"2006"	"2006"	"White"	"2106-3"	5196	527640	984.8	788.4
	"Jefferson County, KY"	"21111"	"2007"	"2007"	"Black or African American"	"2054-5"	1115	150503	740.8	1000.8
	"Jefferson County, KY"	"21111"	"2007"	"2007"	"White"	"2106-3"	5300	528998	1001.9	788.1
	"Jefferson County, KY"	"21111"	"2008"	"2008"	"Black or African American"	"2054-5"	1061	153185	692.6	923.1
	"Jefferson County, KY"	"21111"	"2008"	"2008"	"White"	"2106-3"	5299	530546	998.8	779.1
	"Jefferson County, KY"	"21111"	"2009"	"2009"	"Black or African American"	"2054-5"	1160	156249	742.4	972.9
	"Jefferson County, KY"	"21111"	"2009"	"2009"	"White"	"2106-3"	5070	530395	955.9	737.9
	"Jefferson County, KY"	"21111"	"2010"	"2010"	"Black or African American"	"2054-5"	1131	158386	714.1	937.8
	"Jefferson County, KY"	"21111"	"2010"	"2010"	"White"	"2106-3"	5384	530572	1014.8	774.7
	"Jefferson County, KY"	"21111"	"2011"	"2011"	"Black or African American"	"2054-5"	1141	159333	716.1	913.2
	"Jefferson County, KY"	"21111"	"2011"	"2011"	"White"	"2106-3"	5463	533914	1023.2	770.5
	"Jefferson County, KY"	"21111"	"2012"	"2012"	"Black or African American"	"2054-5"	1115	162252	687.2	893.6
	"Jefferson County, KY"	"21111"	"2012"	"2012"	"White"	"2106-3"	5575	533338	1045.3	780.7
	"Jefferson County, KY"	"21111"	"2013"	"2013"	"Black or African American"	"2054-5"	1132	164746	687.1	857.9
	"Jefferson County, KY"	"21111"	"2013"	"2013"	"White"	"2106-3"	5510	535264	1029.4	758.5
	"Jefferson County, KY"	"21111"	"2014"	"2014"	"Black or African American"	"2054-5"	1183	166658	709.8	875.0
	"Jefferson County, KY"	"21111"	"2014"	"2014"	"White"	"2106-3"	5630	534798	1052.7	767.1
	"Jefferson County, KY"	"21111"	"2015"	"2015"	"Black or African American"	"2054-5"	1279	168323	759.8	926.9
	"Jefferson County, KY"	"21111"	"2015"	"2015"	"White"	"2106-3"	5777	534554	1080.7	775.4
	"Jefferson County, KY"	"21111"	"2016"	"2016"	"Black or African American"	"2054-5"	1300	170589	762.1	910.3
	"Jefferson County, KY"	"21111"	"2016"	"2016"	"White"	"2106-3"	5916	531622	1112.8	789.2
	"Jefferson County, KY"	"21111"	"2017"	"2017"	"Black or African American"	"2054-5"	1268	173612	730.4	856.3
	"Jefferson County, KY"	"21111"	"2017"	"2017"	"White"	"2106-3"	5823	530705	1097.2	765.7
	"Jefferson County, KY"	"21111"	"2018"	"2018"	"Black or African American"	"2054-5"	1291	174856	738.3	858.0
	"Jefferson County, KY"	"21111"	"2018"	"2018"	"White"	"2106-3"	5946	525158	1132.2	774.2
	"Kent County, MI"	"26081"	"2000"	"2000"	"Black or African American"	"2054-5"	254	53230	477.2	931.8
	"Kent County, MI"	"26081"	"2000"	"2000"	"White"	"2106-3"	3471	466355	744.3	768.2
	"Kent County, MI"	"26081"	"2001"	"2001"	"Black or African American"	"2054-5"	273	54721	498.9	962.7
	"Kent County, MI"	"26081"	"2001"	"2001"	"White"	"2106-3"	3373	467706	721.2	734.1
	"Kent County, MI"	"26081"	"2002"	"2002"	"Black or African American"	"2054-5"	302	55591	543.3	1016.4
	"Kent County, MI"	"26081"	"2002"	"2002"	"White"	"2106-3"	3353	467883	716.6	722.0
	"Kent County, MI"	"26081"	"2003"	"2003"	"Black or African American"	"2054-5"	295	56566	521.5	1018.6
	"Kent County, MI"	"26081"	"2003"	"2003"	"White"	"2106-3"	3334	467584	713.0	703.0
	"Kent County, MI"	"26081"	"2004"	"2004"	"Black or African American"	"2054-5"	321	57512	558.1	1069.9
	"Kent County, MI"	"26081"	"2004"	"2004"	"White"	"2106-3"	3456	466148	741.4	720.3
	"Kent County, MI"	"26081"	"2005"	"2005"	"Black or African American"	"2054-5"	319	58193	548.2	1038.8
	"Kent County, MI"	"26081"	"2005"	"2005"	"White"	"2106-3"	3531	465891	757.9	728.3
	"Kent County, MI"	"26081"	"2006"	"2006"	"Black or African American"	"2054-5"	303	59310	510.9	1012.0
	"Kent County, MI"	"26081"	"2006"	"2006"	"White"	"2106-3"	3302	465801	708.9	663.4
	"Kent County, MI"	"26081"	"2007"	"2007"	"Black or African American"	"2054-5"	325	60367	538.4	990.0
	"Kent County, MI"	"26081"	"2007"	"2007"	"White"	"2106-3"	3249	465867	697.4	641.1
	"Kent County, MI"	"26081"	"2008"	"2008"	"Black or African American"	"2054-5"	281	61017	460.5	832.2
	"Kent County, MI"	"26081"	"2008"	"2008"	"White"	"2106-3"	3508	464843	754.7	675.9
	"Kent County, MI"	"26081"	"2009"	"2009"	"Black or African American"	"2054-5"	296	61393	482.1	830.3
	"Kent County, MI"	"26081"	"2009"	"2009"	"White"	"2106-3"	3384	465023	727.7	636.1
	"Kent County, MI"	"26081"	"2010"	"2010"	"Black or African American"	"2054-5"	301	61858	486.6	841.8
	"Kent County, MI"	"26081"	"2010"	"2010"	"White"	"2106-3"	3474	464367	748.1	645.6
	"Kent County, MI"	"26081"	"2011"	"2011"	"Black or African American"	"2054-5"	362	63189	572.9	967.5
	"Kent County, MI"	"26081"	"2011"	"2011"	"White"	"2106-3"	3581	466826	767.1	648.7
	"Kent County, MI"	"26081"	"2012"	"2012"	"Black or African American"	"2054-5"	321	64280	499.4	819.5
	"Kent County, MI"	"26081"	"2012"	"2012"	"White"	"2106-3"	3501	470397	744.3	625.1
	"Kent County, MI"	"26081"	"2013"	"2013"	"Black or African American"	"2054-5"	353	65191	541.5	851.8
	"Kent County, MI"	"26081"	"2013"	"2013"	"White"	"2106-3"	3576	474730	753.3	627.7
	"Kent County, MI"	"26081"	"2014"	"2014"	"Black or African American"	"2054-5"	341	66364	513.8	799.8
	"Kent County, MI"	"26081"	"2014"	"2014"	"White"	"2106-3"	3762	478188	786.7	638.9
	"Kent County, MI"	"26081"	"2015"	"2015"	"Black or African American"	"2054-5"	352	67588	520.8	816.9
	"Kent County, MI"	"26081"	"2015"	"2015"	"White"	"2106-3"	3797	481491	788.6	637.0
	"Kent County, MI"	"26081"	"2016"	"2016"	"Black or African American"	"2054-5"	368	68207	539.5	845.5
	"Kent County, MI"	"26081"	"2016"	"2016"	"White"	"2106-3"	3856	483953	796.8	640.3
	"Kent County, MI"	"26081"	"2017"	"2017"	"Black or African American"	"2054-5"	366	69318	528.0	818.4
	"Kent County, MI"	"26081"	"2017"	"2017"	"White"	"2106-3"	3811	486295	783.7	621.2
	"Kent County, MI"	"26081"	"2018"	"2018"	"Black or African American"	"2054-5"	412	70215	586.8	898.9
	"Kent County, MI"	"26081"	"2018"	"2018"	"White"	"2106-3"	3938	487647	807.6	630.9
	"Jackson County, MO"	"29095"	"2000"	"2000"	"Black or African American"	"2054-5"	1204	155464	774.5	1107.4
	"Jackson County, MO"	"29095"	"2000"	"2000"	"White"	"2106-3"	4296	449931	954.8	816.1
	"Jackson County, MO"	"29095"	"2001"	"2001"	"Black or African American"	"2054-5"	1177	156908	750.1	1069.1
	"Jackson County, MO"	"29095"	"2001"	"2001"	"White"	"2106-3"	4349	448558	969.6	830.2
	"Jackson County, MO"	"29095"	"2002"	"2002"	"Black or African American"	"2054-5"	1210	157686	767.3	1071.5
	"Jackson County, MO"	"29095"	"2002"	"2002"	"White"	"2106-3"	4186	446918	936.6	797.6
	"Jackson County, MO"	"29095"	"2003"	"2003"	"Black or African American"	"2054-5"	1222	158604	770.5	1068.9
	"Jackson County, MO"	"29095"	"2003"	"2003"	"White"	"2106-3"	4174	443727	940.7	790.0
	"Jackson County, MO"	"29095"	"2004"	"2004"	"Black or African American"	"2054-5"	1189	159763	744.2	1034.0
	"Jackson County, MO"	"29095"	"2004"	"2004"	"White"	"2106-3"	4135	439622	940.6	788.9
	"Jackson County, MO"	"29095"	"2005"	"2005"	"Black or African American"	"2054-5"	1241	160404	773.7	1047.9
	"Jackson County, MO"	"29095"	"2005"	"2005"	"White"	"2106-3"	4170	436848	954.6	790.3
	"Jackson County, MO"	"29095"	"2006"	"2006"	"Black or African American"	"2054-5"	1210	162114	746.4	996.5
	"Jackson County, MO"	"29095"	"2006"	"2006"	"White"	"2106-3"	4283	434500	985.7	806.9
	"Jackson County, MO"	"29095"	"2007"	"2007"	"Black or African American"	"2054-5"	1247	162958	765.2	997.4
	"Jackson County, MO"	"29095"	"2007"	"2007"	"White"	"2106-3"	4005	433530	923.8	748.8
	"Jackson County, MO"	"29095"	"2008"	"2008"	"Black or African American"	"2054-5"	1123	163612	686.4	872.4
	"Jackson County, MO"	"29095"	"2008"	"2008"	"White"	"2106-3"	4328	432835	999.9	800.1
	"Jackson County, MO"	"29095"	"2009"	"2009"	"Black or African American"	"2054-5"	1130	164881	685.3	872.1
	"Jackson County, MO"	"29095"	"2009"	"2009"	"White"	"2106-3"	4129	434311	950.7	762.4
	"Jackson County, MO"	"29095"	"2010"	"2010"	"Black or African American"	"2054-5"	1163	166059	700.4	872.7
	"Jackson County, MO"	"29095"	"2010"	"2010"	"White"	"2106-3"	4078	434146	939.3	748.2
	"Jackson County, MO"	"29095"	"2011"	"2011"	"Black or African American"	"2054-5"	1150	165999	692.8	834.1
	"Jackson County, MO"	"29095"	"2011"	"2011"	"White"	"2106-3"	4164	435739	955.6	747.3
	"Jackson County, MO"	"29095"	"2012"	"2012"	"Black or African American"	"2054-5"	1203	166252	723.6	860.8
	"Jackson County, MO"	"29095"	"2012"	"2012"	"White"	"2106-3"	4126	435481	947.5	734.4
	"Jackson County, MO"	"29095"	"2013"	"2013"	"Black or African American"	"2054-5"	1227	166119	738.6	866.5
	"Jackson County, MO"	"29095"	"2013"	"2013"	"White"	"2106-3"	4208	436710	963.6	740.3
	"Jackson County, MO"	"29095"	"2014"	"2014"	"Black or African American"	"2054-5"	1277	166851	765.4	875.4
	"Jackson County, MO"	"29095"	"2014"	"2014"	"White"	"2106-3"	4125	437180	943.5	717.1
	"Jackson County, MO"	"29095"	"2015"	"2015"	"Black or African American"	"2054-5"	1344	168149	799.3	898.2
	"Jackson County, MO"	"29095"	"2015"	"2015"	"White"	"2106-3"	4160	438516	948.7	717.7
	"Jackson County, MO"	"29095"	"2016"	"2016"	"Black or African American"	"2054-5"	1307	169437	771.4	852.4
	"Jackson County, MO"	"29095"	"2016"	"2016"	"White"	"2106-3"	4035	440882	915.2	685.2
	"Jackson County, MO"	"29095"	"2017"	"2017"	"Black or African American"	"2054-5"	1351	170433	792.7	862.2
	"Jackson County, MO"	"29095"	"2017"	"2017"	"White"	"2106-3"	4198	444202	945.1	698.9
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Black or African American"	"2054-5"	1318	171036	770.6	812.2
	"Jackson County, MO"	"29095"	"2018"	"2018"	"White"	"2106-3"	4092	444732	920.1	673.4
	"St. Louis County, MO"	"29189"	"2000"	"2000"	"Black or African American"	"2054-5"	1271	196206	647.8	1105.4
	"St. Louis County, MO"	"29189"	"2000"	"2000"	"White"	"2106-3"	7820	778630	1004.3	771.0
	"St. Louis County, MO"	"29189"	"2001"	"2001"	"Black or African American"	"2054-5"	1254	202181	620.2	1040.0
	"St. Louis County, MO"	"29189"	"2001"	"2001"	"White"	"2106-3"	7800	769914	1013.1	766.1
	"St. Louis County, MO"	"29189"	"2002"	"2002"	"Black or African American"	"2054-5"	1383	207218	667.4	1104.3
	"St. Louis County, MO"	"29189"	"2002"	"2002"	"White"	"2106-3"	7892	760353	1037.9	772.0
	"St. Louis County, MO"	"29189"	"2003"	"2003"	"Black or African American"	"2054-5"	1359	211472	642.6	1035.1
	"St. Louis County, MO"	"29189"	"2003"	"2003"	"White"	"2106-3"	7527	750865	1002.4	731.0
	"St. Louis County, MO"	"29189"	"2004"	"2004"	"Black or African American"	"2054-5"	1427	215906	660.9	1065.5
	"St. Louis County, MO"	"29189"	"2004"	"2004"	"White"	"2106-3"	7313	740063	988.2	707.3
	"St. Louis County, MO"	"29189"	"2005"	"2005"	"Black or African American"	"2054-5"	1406	220576	637.4	1009.0
	"St. Louis County, MO"	"29189"	"2005"	"2005"	"White"	"2106-3"	7137	729344	978.6	689.9
	"St. Louis County, MO"	"29189"	"2006"	"2006"	"Black or African American"	"2054-5"	1506	225480	667.9	1036.4
	"St. Louis County, MO"	"29189"	"2006"	"2006"	"White"	"2106-3"	7154	719778	993.9	683.0
	"St. Louis County, MO"	"29189"	"2007"	"2007"	"Black or African American"	"2054-5"	1501	229294	654.6	986.6
	"St. Louis County, MO"	"29189"	"2007"	"2007"	"White"	"2106-3"	6860	711059	964.8	646.3
	"St. Louis County, MO"	"29189"	"2008"	"2008"	"Black or African American"	"2054-5"	1526	232252	657.0	957.5
	"St. Louis County, MO"	"29189"	"2008"	"2008"	"White"	"2106-3"	7329	704735	1040.0	683.1
	"St. Louis County, MO"	"29189"	"2009"	"2009"	"Black or African American"	"2054-5"	1449	235335	615.7	846.9
	"St. Louis County, MO"	"29189"	"2009"	"2009"	"White"	"2106-3"	7007	699833	1001.2	652.0
	"St. Louis County, MO"	"29189"	"2010"	"2010"	"Black or African American"	"2054-5"	1554	237817	653.4	871.4
	"St. Louis County, MO"	"29189"	"2010"	"2010"	"White"	"2106-3"	7019	696139	1008.3	645.8
	"St. Louis County, MO"	"29189"	"2011"	"2011"	"Black or African American"	"2054-5"	1580	237543	665.1	861.9
	"St. Louis County, MO"	"29189"	"2011"	"2011"	"White"	"2106-3"	6864	694114	988.9	628.5
	"St. Louis County, MO"	"29189"	"2012"	"2012"	"Black or African American"	"2054-5"	1637	240579	680.4	851.3
	"St. Louis County, MO"	"29189"	"2012"	"2012"	"White"	"2106-3"	6997	690726	1013.0	633.0
	"St. Louis County, MO"	"29189"	"2013"	"2013"	"Black or African American"	"2054-5"	1771	241847	732.3	884.8
