"facility_type","facility_type_description","subtype","subtype_description","permit_number","premise_name","premise_address","premise_city","premise_state","premise_zip","EHS","opening_date"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","34038","SAINTS PIZZA & PUB","131 BRECKENRIDGE LN","LOUISVILLE","KY","40207","AREA1","2003-10-16 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","34163","KY SCHOOL FOR THE BLIND","1867 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2009-10-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","34526","PLEHN'S BAKERY","3940 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","1988-08-11 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","34628","ORIENTAL HOUSE","4302 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2004-07-27 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","34630","AMERICAN LEGION","4610 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","1988-08-11 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","34635","FRISCH'S BIG BOY #154","4800 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","1988-08-11 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","34636","MOBY DICK","4848 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","1988-08-11 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","34783","LOUISVILLE COUNTRY CLUB","25 MOCKINGBIRD VALLEY TRAIL","LOUISVILLE","KY","40207","AREA1","1988-08-11 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","55","RETAIL-FOOD  10,001 SQ FT OR OVER","35199","KROGER L-224","2200 BROWNSBORO RD","LOUISVILLE","KY","40206","AREA1","1988-08-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","35204","DOMINO'S PIZZA #1423","2400 BROWNSBORO RD","LOUISVILLE","KY","40206","AREA1","1988-08-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","35211","PAT'S STEAK HOUSE","2437 BROWNSBORO RD","LOUISVILLE","KY","40206","AREA1","1988-08-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","35215","LEE'S FAMOUS RECIPE","2925 BROWNSBORO RD","LOUISVILLE","KY","40206","AREA1","1988-08-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","36820","IRISH ROVER CLUB","2319 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","1989-01-11 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","54","RETAIL-FOOD  10,000 SQ FT OR LESS","37089","SPEEDWAY #5485","4150 WESTPORT RD","LOUISVILLE","KY","40207","AREA1","1989-02-28 00:00:00"
"610","RETAIL FOOD STORES","61","SUPERMARKET WITH PROCESSING","41554","CONVENIENCE PLUS ONE","1035 ZORN AVE","LOUISVILLE","KY","40207","AREA1","1990-04-02 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","43368","HEINE BROTHERS COFFEE","119 CHENOWETH LN","LOUISVILLE","KY","40207","AREA1","1997-11-17 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","55","RETAIL-FOOD  10,001 SQ FT OR OVER","44242","KROGER L-387","291 N HUBBARDS LN","LOUISVILLE","KY","40207","AREA1","1991-04-19 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","45222","HEINE BROTHERS COFFEE","2309 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2005-04-05 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","54","RETAIL-FOOD  10,000 SQ FT OR LESS","45468","LOTSA PASTA","3717 LEXINGTON RD","LOUISVILLE","KY","40207","AREA1","1991-11-08 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","46121","PORCINI","2730 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","1992-02-27 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","46435","ST. MATTHEWS LITTLE LEAGUE","220 TEN PIN LN","LOUISVILLE","KY","40207","AREA1","1992-04-24 00:00:00"
"610","RETAIL FOOD STORES","62","PRE-PACKAGED RETAIL","46641","CIRCLE K #4700106","4300 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2004-12-02 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","48068","PAPA JOHN'S #4","1961 BROWNSBORO RD","LOUISVILLE","KY","40206","AREA1","2010-01-11 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","48491","LONNIE'S BEST TASTE OF CHICAGO","121 ST. MATTHEWS AVE","LOUISVILLE","KY","40207","AREA1","2003-09-11 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","48613","EL MUNDO","2345 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2010-02-10 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","49174","GRAPE LEAF","2217 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","1994-06-22 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","49968","GASTHAUS","4812 BROWNSBORO RD","LOUISVILLE","KY","40207","AREA1","1993-12-15 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","50068","BOURBON'S BISTRO","2255 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2005-04-15 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","52124","FRANKFORT AVENUE BEER DEPOT","3204 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","1994-12-06 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","53397","MCDONALD'S","287 N HUBBARDS LN","LOUISVILLE","KY","40207","AREA1","1995-06-22 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","54791","DIVINITY CATERING LTD","2052 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","1996-02-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","55172","PAPA JOHN'S #25","4123 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2010-01-11 00:00:00"
"610","RETAIL FOOD STORES","62","PRE-PACKAGED RETAIL","56068","WALGREENS #3777","4240 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2009-10-19 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","59049","BREADWORKS","3628 BROWNSBORO RD","LOUISVILLE","KY","40206","AREA1","1997-11-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","60382","BLUE DOG BAKERY & CAFE","2868 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","1998-06-11 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","54","RETAIL-FOOD  10,000 SQ FT OR LESS","61685","RAINBOW BLOSSOM","3738 LEXINGTON RD","LOUISVILLE","KY","40207","AREA1","1999-01-29 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","32","FOOD SERVICE (HOSPITAL / NURSING HOME","63222","BELMONT VILLAGE SENIOR LIVING ST MATTHEWS","4600 BOWLING BLVD","LOUISVILLE","KY","40207","AREA1","1999-11-23 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","63865","BATS MAIN KITCHEN","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-04-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","63866","BATS STAND 120","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-04-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","63867","BATS STAND 203","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-04-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","63868","BATS STAND 113","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2009-04-15 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","63869","BATS STAND 118","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2009-04-15 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","63900","BATS STAND 201","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-04-18 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","63901","BATS STAND 110","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-04-18 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","64329","BATS STAND 152","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-06-29 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","64344","BATS STAND 106","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-07-05 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","64357","BATS NACHO CANTINA 2","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-07-06 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","64358","BATS PORTABLE 119","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-07-06 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","64360","BATS PORTABLE 115","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2000-07-06 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","64818","LOTSA PASTA EXTENSION","121 BAUER AVE","LOUISVILLE","KY","40207","AREA1","2000-10-03 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","64936","CENTER CAFE","750 CYPRESS STATION DR","LOUISVILLE","KY","40207","AREA1","2000-10-25 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","65168","HONEY BAKED HAM","4600 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2000-12-07 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","66139","MCDONALD'S","2314 BROWNSBORO RD","LOUISVILLE","KY","40206","AREA1","2001-06-27 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","66690","STARBUCKS #2561","4400 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2001-10-04 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","67435","VOLARE RISTORANTE","2300 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2004-07-27 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","54","RETAIL-FOOD  10,000 SQ FT OR LESS","68057","SPEEDWAY #8132","2300 BROWNSBORO RD","LOUISVILLE","KY","40207","AREA1","2002-07-15 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","68438","HAWTHORN SUITES BY WYNDHAM","751 CYPRESS STATION DR","LOUISVILLE","KY","40207","AREA1","2002-09-11 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","70508","CAFE CLASSICO","2144 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2003-09-26 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","55","RETAIL-FOOD  10,001 SQ FT OR OVER","71274","WHOLE FOODS MARKET","4944 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2004-02-26 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","71981","PAPA MURPHY'S","291 N HUBBARDS LN","LOUISVILLE","KY","40207","AREA1","2004-06-18 00:00:00"
"610","RETAIL FOOD STORES","62","PRE-PACKAGED RETAIL","72126","FAMILY DOLLAR #26256","1961 BROWNSBORO RD","LOUISVILLE","KY","40206","AREA1","2004-07-13 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","55","RETAIL-FOOD  10,001 SQ FT OR OVER","72419","WALMART #5297","143 THIERMAN LN","LOUISVILLE","KY","40207","AREA1","2004-08-31 00:00:00"
"610","RETAIL FOOD STORES","61","SUPERMARKET WITH PROCESSING","72636","WORLD MARKET","4600 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2004-10-05 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","72891","AFC SUSHI @ KROGER #387","279 N HUBBARDS LN","LOUISVILLE","KY","40207","AREA1","2004-12-02 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","74409","CHEESECAKE FACTORY","5000 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2005-08-05 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","74670","SALSARITA'S","285 N HUBBARDS LN","LOUISVILLE","KY","40207","AREA1","2005-09-12 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","54","RETAIL-FOOD  10,000 SQ FT OR LESS","75222","PAUL'S FRUIT MARKET","3922 CHENOWETH SQUARE","LOUISVILLE","KY","40207","AREA1","2005-12-19 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","31","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","75564","CORNERSTONE CHILD DEVELOPMENT CENTER","211 BROWNS LN","LOUISVILLE","KY","40207","AREA1","2006-02-22 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","76252","BATS DOUBLE PLAY","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2006-06-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","76253","BATS PORTABLE 109","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2006-06-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","76940","STARBUCKS #10559","3702 FRANKFORT AVE","LOUISVILLE","KY","40207","AREA1","2006-09-20 00:00:00"
"610","RETAIL FOOD STORES","62","PRE-PACKAGED RETAIL","77058","WALGREENS #10151","3700 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2006-10-19 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","77294","AUNTIE ANNE'S","5000 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2006-11-27 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","77295","EDIBLE ARRANGEMENTS","3701 LEXINGTON RD","LOUISVILLE","KY","40207","AREA1","2006-11-27 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","77586","ARBY'S #773","4975 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2007-02-07 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","77591","JIMMY JOHN'S","4000 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2007-02-07 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","77735","HIGHLANDS LATIN SCHOOL","2800 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2009-10-20 00:00:00"
"603","RESTRICTED FOOD CONCESSIONS","53","STATIONARY RESTRICTED CONCESSON","78337","MOCKINGBIRD VALLEY SOCCER CLUB","3000 MELLWOOD AVE","LOUISVILLE","KY","40207","AREA1","2007-06-12 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","78566","LOU LOU FOOD & DRINK","106 SEARS AVE","LOUISVILLE","KY","40207","AREA1","2007-07-16 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","78693","SWEET SURRENDER","1804 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2007-07-30 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","78850","VARANESE","2106 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2007-08-22 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","79768","CRAVE CAFE & CATERING","2250 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2008-01-24 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","80286","GERSTLE'S","3801 FRANKFORT AVE","LOUISVILLE","KY","40207","AREA1","2008-03-19 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","80287","OSAKA SUSHI BAR & CUISINE","2039 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2008-03-19 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","81207","HOME CUISINE","309 WALLACE AVE","LOUISVILLE","KY","40207","AREA1","2008-06-02 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","81571","RED ROBIN","5000 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2008-07-15 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","82402","RAMIRO'S CANTINA","2350 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2008-11-06 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","82538","TRINITY HS HARRY JANSING STADIUM","4011 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2008-12-03 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","82712","CHICK-FIL-A","5001 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2009-01-07 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","82865","TEN PIN STRIKE & SPARE","200 TEN PIN LN","LOUISVILLE","KY","40207","AREA1","2009-02-04 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","83052","RAMADA DOWNTOWN NORTH","1041 ZORN AVE","LOUISVILLE","KY","40207","AREA1","2009-03-06 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","83104","JASON'S DELI","4600 SHELBYVILLE RD STE 400","LOUISVILLE","KY","40207","AREA1","2009-03-13 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","83147","BUFFALO WILD WINGS","4600 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2009-03-19 00:00:00"
"610","RETAIL FOOD STORES","62","PRE-PACKAGED RETAIL","83171","CVS #6202","2106 BROWNSBORO RD","LOUISVILLE","KY","40206","AREA1","2009-03-25 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","83395","BATS ACTION STATION","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2009-04-20 00:00:00"
"610","RETAIL FOOD STORES","61","SUPERMARKET WITH PROCESSING","83755","WINE RACK","2632 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2009-06-08 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","84290","SOUTHERN BAPTIST THEOLOGICAL SEMINARY-DINING ROOM","2825 LEXINGTON RD","LOUISVILLE","KY","40207","AREA1","2009-08-13 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","84292","FOUNDERS CAFE","2825 LEXINGTON RD","LOUISVILLE","KY","40207","AREA1","2009-08-13 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","84372","EL NOPAL","5000 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2009-08-27 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","55","RETAIL-FOOD  10,001 SQ FT OR OVER","84635","TARGET T-2473 STARBUCKS","4174 WESTPORT RD","LOUISVILLE","KY","40207","AREA1","2009-10-15 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","84714","RAVEN IRISH PUB","3900 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2009-10-29 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","85043","SUBWAY","5000 SHELBYVILLE RD STE 1675","LOUISVILLE","KY","40207","AREA1","2010-03-30 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","85098","CHINESE GOURMET EXPRESS","5000 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2010-01-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","85264","DIFABIO'S CASAPELA","2311 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","2010-02-23 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","85481","SUBWAY","291 N HUBBARDS LN","LOUISVILLE","KY","40207","AREA1","2010-03-24 00:00:00"
"610","RETAIL FOOD STORES","62","PRE-PACKAGED RETAIL","85633","BATS GRAB N' GO","401 E MAIN ST","LOUISVILLE","KY","40202","AREA1","2010-04-09 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","85861","EL NOPAL","1041 ZORN AVE","LOUISVILLE","KY","40207","AREA1","2010-05-11 00:00:00"
"607","RETAIL/FOOD ESTABLISHMENT","54","RETAIL-FOOD  10,000 SQ FT OR LESS","85948","GENJI SUSHI","4944 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2010-05-19 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","86689","KAYROUZ CAFE","3801 WILLIS AVE","LOUISVILLE","KY","40207","AREA1","2010-08-31 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","87040","DIORIO'S PIZZA & PUB","310 WALLACE AVE","LOUISVILLE","KY","40207","AREA1","2010-10-26 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","87364","CHARLEY'S GRILLED SUB","5000 SHELBYVILLE RD STE 1655","LOUISVILLE","KY","40207","AREA1","2010-12-15 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","87474","COOKING AT THE COTTAGE","3739 LEXINGTON RD","LOUISVILLE","KY","40207","AREA1","2011-01-14 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","87477","SIMPLY THAI","323 WALLACE AVE","LOUISVILLE","KY","40207","AREA1","2011-01-14 00:00:00"
