"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"2000"	"2000"	"Guilford County, NC"	"37081"	"White"	"2106-3"	583	267410	218.0	188.1
	"2000"	"2000"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	258	195133	132.2	244.1
	"2000"	"2000"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	736	429625	171.3	190.2
	"2000"	"2000"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	325	199141	163.2	271.0
	"2000"	"2000"	"Franklin County, OH"	"39049"	"White"	"2106-3"	1539	806481	190.8	216.2
	"2000"	"2000"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	449	201565	222.8	295.4
	"2000"	"2000"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	1516	617524	245.5	211.9
	"2000"	"2000"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	167	103133	161.9	272.2
	"2000"	"2000"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	1072	455735	235.2	201.9
	"2000"	"2000"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	104	64528	161.2	277.2
	"2000"	"2000"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	983	422387	232.7	213.0
	"2000"	"2000"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	144	69950	205.9	290.8
	"2000"	"2000"	"Greenville County, SC"	"45045"	"White"	"2106-3"	567	289056	196.2	184.8
	"2000"	"2000"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	289	149939	192.7	308.3
	"2000"	"2000"	"Davidson County, TN"	"47037"	"White"	"2106-3"	816	377327	216.3	200.8
	"2000"	"2000"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	73	33728	216.4	291.3
	"2000"	"2000"	"Knox County, TN"	"47093"	"White"	"2106-3"	765	337059	227.0	215.9
	"2000"	"2000"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	811	437348	185.4	295.6
	"2000"	"2000"	"Shelby County, TN"	"47157"	"White"	"2106-3"	896	419152	213.8	196.2
	"2001"	"2001"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	545	263244	207.0	255.2
	"2001"	"2001"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	960	377031	254.6	200.7
	"2001"	"2001"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	413	216298	190.9	280.7
	"2001"	"2001"	"Marion County, IN"	"18097"	"White"	"2106-3"	1374	593862	231.4	228.6
	"2001"	"2001"	"Fayette County, KY"	"21067"	"Black or African American"	"2054-5"	75	36840	203.6	304.6
	"2001"	"2001"	"Fayette County, KY"	"21067"	"White"	"2106-3"	412	210104	196.1	215.4
	"2001"	"2001"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	255	135452	188.3	263.7
	"2001"	"2001"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	1446	534828	270.4	232.1
	"2001"	"2001"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	56	54721	102.3	205.7
	"2001"	"2001"	"Kent County, MI"	"26081"	"White"	"2106-3"	812	467706	173.6	180.7
	"2001"	"2001"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	298	156908	189.9	266.7
	"2001"	"2001"	"Jackson County, MO"	"29095"	"White"	"2106-3"	1012	448558	225.6	198.1
	"2001"	"2001"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	348	202181	172.1	268.5
	"2001"	"2001"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	1847	769914	239.9	188.7
	"2001"	"2001"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	419	177791	235.7	271.8
	"2001"	"2001"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	417	148708	280.4	224.8
	"2001"	"2001"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	96	56094	171.1	276.3
	"2001"	"2001"	"Douglas County, NE"	"31055"	"White"	"2106-3"	772	365674	211.1	210.9
	"2001"	"2001"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	188	128675	146.1	223.6
	"2001"	"2001"	"Guilford County, NC"	"37081"	"White"	"2106-3"	581	267667	217.1	184.6
	"2001"	"2001"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	255	204371	124.8	223.0
	"2001"	"2001"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	725	436414	166.1	181.3
	"2001"	"2001"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	311	207218	150.1	249.1
	"2001"	"2001"	"Franklin County, OH"	"39049"	"White"	"2106-3"	1542	807111	191.1	214.6
	"2001"	"2001"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	432	203139	212.7	286.1
	"2001"	"2001"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	1476	609382	242.2	207.4
	"2001"	"2001"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	165	104309	158.2	253.2
	"2001"	"2001"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	1113	453215	245.6	209.1
	"2001"	"2001"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	95	64773	146.7	250.4
	"2001"	"2001"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	1011	420731	240.3	219.1
	"2001"	"2001"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	132	71122	185.6	261.4
	"2001"	"2001"	"Greenville County, SC"	"45045"	"White"	"2106-3"	590	291668	202.3	188.9
	"2001"	"2001"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	292	152672	191.3	308.1
	"2001"	"2001"	"Davidson County, TN"	"47037"	"White"	"2106-3"	841	375263	224.1	205.9
	"2001"	"2001"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	64	33963	188.4	259.5
	"2001"	"2001"	"Knox County, TN"	"47093"	"White"	"2106-3"	702	339423	206.8	195.9
	"2001"	"2001"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	799	444586	179.7	284.1
	"2001"	"2001"	"Shelby County, TN"	"47157"	"White"	"2106-3"	902	410489	219.7	198.5
	"2002"	"2002"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	515	263881	195.2	242.0
	"2002"	"2002"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	910	371901	244.7	190.7
	"2002"	"2002"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	445	219768	202.5	299.2
	"2002"	"2002"	"Marion County, IN"	"18097"	"White"	"2106-3"	1287	585905	219.7	213.6
	"2002"	"2002"	"Fayette County, KY"	"21067"	"Black or African American"	"2054-5"	65	37411	173.7	255.5
	"2002"	"2002"	"Fayette County, KY"	"21067"	"White"	"2106-3"	434	210129	206.5	225.0
	"2002"	"2002"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	287	137739	208.4	288.5
	"2002"	"2002"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	1446	532782	271.4	230.0
	"2002"	"2002"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	85	55591	152.9	302.1
	"2002"	"2002"	"Kent County, MI"	"26081"	"White"	"2106-3"	839	467883	179.3	184.5
	"2002"	"2002"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	260	157686	164.9	229.1
	"2002"	"2002"	"Jackson County, MO"	"29095"	"White"	"2106-3"	959	446918	214.6	187.5
	"2002"	"2002"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	364	207218	175.7	271.5
	"2002"	"2002"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	1871	760353	246.1	190.8
	"2002"	"2002"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	426	175483	242.8	277.7
	"2002"	"2002"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	404	145555	277.6	224.8
	"2002"	"2002"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	83	56618	146.6	229.7
	"2002"	"2002"	"Douglas County, NE"	"31055"	"White"	"2106-3"	742	365252	203.1	202.5
	"2002"	"2002"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	210	131045	160.3	254.2
	"2002"	"2002"	"Guilford County, NC"	"37081"	"White"	"2106-3"	595	266379	223.4	186.5
	"2002"	"2002"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	277	212106	130.6	237.9
	"2002"	"2002"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	695	437983	158.7	169.9
	"2002"	"2002"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	363	213826	169.8	278.7
	"2002"	"2002"	"Franklin County, OH"	"39049"	"White"	"2106-3"	1598	802098	199.2	219.9
	"2002"	"2002"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	395	204124	193.5	255.3
	"2002"	"2002"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	1499	598953	250.3	211.9
	"2002"	"2002"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	170	105879	160.6	263.9
	"2002"	"2002"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	1113	451843	246.3	208.0
	"2002"	"2002"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	107	65098	164.4	291.7
	"2002"	"2002"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	953	419311	227.3	204.3
	"2002"	"2002"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	121	71654	168.9	239.0
	"2002"	"2002"	"Greenville County, SC"	"45045"	"White"	"2106-3"	566	293223	193.0	178.0
	"2002"	"2002"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	276	154359	178.8	291.2
	"2002"	"2002"	"Davidson County, TN"	"47037"	"White"	"2106-3"	844	370070	228.1	207.5
	"2002"	"2002"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	78	34410	226.7	308.1
	"2002"	"2002"	"Knox County, TN"	"47093"	"White"	"2106-3"	748	341432	219.1	205.0
	"2002"	"2002"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	738	450806	163.7	259.6
	"2002"	"2002"	"Shelby County, TN"	"47157"	"White"	"2106-3"	885	404060	219.0	194.7
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	534	265681	201.0	248.6
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	962	368393	261.1	203.3
	"2003"	"2003"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	397	223078	178.0	260.5
	"2003"	"2003"	"Marion County, IN"	"18097"	"White"	"2106-3"	1306	579772	225.3	215.4
	"2003"	"2003"	"Fayette County, KY"	"21067"	"Black or African American"	"2054-5"	70	38180	183.3	264.0
	"2003"	"2003"	"Fayette County, KY"	"21067"	"White"	"2106-3"	360	211942	169.9	183.6
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	285	139850	203.8	280.0
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	1393	532009	261.8	220.2
	"2003"	"2003"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	69	56566	122.0	235.1
	"2003"	"2003"	"Kent County, MI"	"26081"	"White"	"2106-3"	799	467584	170.9	173.1
	"2003"	"2003"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	298	158604	187.9	255.2
	"2003"	"2003"	"Jackson County, MO"	"29095"	"White"	"2106-3"	972	443727	219.1	188.1
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	366	211472	173.1	263.8
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	1790	750865	238.4	181.6
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	420	173789	241.7	275.2
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	396	143231	276.5	225.6
	"2003"	"2003"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	105	57379	183.0	296.4
	"2003"	"2003"	"Douglas County, NE"	"31055"	"White"	"2106-3"	733	365830	200.4	197.3
	"2003"	"2003"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	177	133681	132.4	208.8
	"2003"	"2003"	"Guilford County, NC"	"37081"	"White"	"2106-3"	567	265890	213.2	174.6
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	291	219010	132.9	233.4
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	744	441165	168.6	179.3
	"2003"	"2003"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	355	219835	161.5	262.9
	"2003"	"2003"	"Franklin County, OH"	"39049"	"White"	"2106-3"	1567	797947	196.4	212.5
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	406	204713	198.3	260.8
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	1440	589940	244.1	203.2
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	162	107042	151.3	243.8
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	1028	449026	228.9	191.4
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	95	65247	145.6	255.7
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	967	415029	233.0	205.8
	"2003"	"2003"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	137	72313	189.5	270.9
	"2003"	"2003"	"Greenville County, SC"	"45045"	"White"	"2106-3"	596	294349	202.5	183.0
	"2003"	"2003"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	279	156598	178.2	290.9
	"2003"	"2003"	"Davidson County, TN"	"47037"	"White"	"2106-3"	835	367093	227.5	204.9
	"2003"	"2003"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	67	34977	191.6	263.9
	"2003"	"2003"	"Knox County, TN"	"47093"	"White"	"2106-3"	732	344371	212.6	198.4
	"2003"	"2003"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	788	457071	172.4	272.4
	"2003"	"2003"	"Shelby County, TN"	"47157"	"White"	"2106-3"	846	398476	212.3	185.9
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	514	267085	192.4	237.7
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	895	363467	246.2	190.4
	"2004"	"2004"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	387	226602	170.8	251.7
	"2004"	"2004"	"Marion County, IN"	"18097"	"White"	"2106-3"	1281	572539	223.7	212.0
	"2004"	"2004"	"Fayette County, KY"	"21067"	"Black or African American"	"2054-5"	65	38868	167.2	251.5
	"2004"	"2004"	"Fayette County, KY"	"21067"	"White"	"2106-3"	374	212167	176.3	186.8
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	272	142868	190.4	265.0
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	1337	529279	252.6	210.1
	"2004"	"2004"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	89	57512	154.8	274.9
	"2004"	"2004"	"Kent County, MI"	"26081"	"White"	"2106-3"	831	466148	178.3	177.4
	"2004"	"2004"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	286	159763	179.0	238.6
	"2004"	"2004"	"Jackson County, MO"	"29095"	"White"	"2106-3"	1013	439622	230.4	197.3
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	365	215906	169.1	254.6
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	1819	740063	245.8	184.8
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	428	171835	249.1	282.3
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	391	140584	278.1	237.5
	"2004"	"2004"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	96	58399	164.4	258.4
	"2004"	"2004"	"Douglas County, NE"	"31055"	"White"	"2106-3"	709	367138	193.1	188.4
	"2004"	"2004"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	164	136628	120.0	186.2
	"2004"	"2004"	"Guilford County, NC"	"37081"	"White"	"2106-3"	566	264669	213.9	172.1
	"2004"	"2004"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	309	226998	136.1	239.3
	"2004"	"2004"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	713	443944	160.6	166.7
	"2004"	"2004"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	360	225325	159.8	261.8
	"2004"	"2004"	"Franklin County, OH"	"39049"	"White"	"2106-3"	1540	792855	194.2	208.6
	"2004"	"2004"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	474	205222	231.0	303.0
	"2004"	"2004"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	1381	580389	237.9	196.9
	"2004"	"2004"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	159	108369	146.7	233.0
	"2004"	"2004"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	1056	445868	236.8	196.5
	"2004"	"2004"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	94	65215	144.1	244.4
	"2004"	"2004"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	879	410150	214.3	185.2
	"2004"	"2004"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	125	73382	170.3	234.8
	"2004"	"2004"	"Greenville County, SC"	"45045"	"White"	"2106-3"	555	295943	187.5	167.1
	"2004"	"2004"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	226	159446	141.7	221.4
	"2004"	"2004"	"Davidson County, TN"	"47037"	"White"	"2106-3"	835	365514	228.4	203.9
	"2004"	"2004"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	64	35486	180.4	247.5
	"2004"	"2004"	"Knox County, TN"	"47093"	"White"	"2106-3"	769	346533	221.9	205.5
	"2004"	"2004"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	813	462554	175.8	270.3
	"2004"	"2004"	"Shelby County, TN"	"47157"	"White"	"2106-3"	799	391894	203.9	174.4
	"2005"	"2005"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	569	268781	211.7	259.2
	"2005"	"2005"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	886	358626	247.1	187.1
	"2005"	"2005"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	448	229847	194.9	281.4
	"2005"	"2005"	"Marion County, IN"	"18097"	"White"	"2106-3"	1324	565988	233.9	217.9
	"2005"	"2005"	"Fayette County, KY"	"21067"	"Black or African American"	"2054-5"	57	39723	143.5	208.3
	"2005"	"2005"	"Fayette County, KY"	"21067"	"White"	"2106-3"	375	212744	176.3	183.3
	"2005"	"2005"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	277	145070	190.9	263.1
	"2005"	"2005"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	1379	527587	261.4	214.5
	"2005"	"2005"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	76	58193	130.6	242.6
	"2005"	"2005"	"Kent County, MI"	"26081"	"White"	"2106-3"	826	465891	177.3	174.6
	"2005"	"2005"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	309	160404	192.6	257.1
	"2005"	"2005"	"Jackson County, MO"	"29095"	"White"	"2106-3"	1050	436848	240.4	203.2
	"2005"	"2005"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	359	220576	162.8	229.1
	"2005"	"2005"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	1706	729344	233.9	173.3
	"2005"	"2005"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	397	168378	235.8	264.1
	"2005"	"2005"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	342	137404	248.9	207.9
	"2005"	"2005"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	82	59040	138.9	223.8
	"2005"	"2005"	"Douglas County, NE"	"31055"	"White"	"2106-3"	704	369328	190.6	184.3
	"2005"	"2005"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	199	140849	141.3	218.5
	"2005"	"2005"	"Guilford County, NC"	"37081"	"White"	"2106-3"	557	265047	210.2	164.6
	"2005"	"2005"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	302	237152	127.3	229.0
	"2005"	"2005"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	727	450612	161.3	166.6
	"2005"	"2005"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	346	230352	150.2	238.9
	"2005"	"2005"	"Franklin County, OH"	"39049"	"White"	"2106-3"	1508	789109	191.1	201.9
	"2005"	"2005"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	425	205866	206.4	267.8
	"2005"	"2005"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	1262	571611	220.8	180.2
	"2005"	"2005"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	172	109803	156.6	246.3
	"2005"	"2005"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	1095	444394	246.4	201.2
	"2005"	"2005"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	102	65379	156.0	251.8
	"2005"	"2005"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	973	408037	238.5	203.4
